,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
74,100000,1,0.1,1000,TRUE,8,lmm,1.137837796,1.126877308,0.089947574,81,1333.342642
75,100000,1,0.1,1000,TRUE,8,ignore,1.238684536,,,17,119.9685626
76,100000,1,0.1,1000,TRUE,8,embed,1.245099342,,,16,147.1995959
77,100000,1,0.1,1000,TRUE,9,ohe,1.288368655,,,15,88.54870057
78,100000,1,0.1,1000,TRUE,9,lmm,1.163621779,1.117251396,0.112729728,62,1016.616874
79,100000,1,0.1,1000,TRUE,9,ignore,1.245693162,,,44,309.1667464
80,100000,1,0.1,1000,TRUE,9,embed,1.248320471,,,16,146.4999459
81,100000,1,0.1,10000,TRUE,0,ohe,1.573897529,,,12,149.1595049
82,100000,1,0.1,10000,TRUE,0,lmm,1.158108991,1.054515362,0.131968677,133,2213.92827
83,100000,1,0.1,10000,TRUE,0,ignore,1.19339969,,,25,175.1994324
84,100000,1,0.1,10000,TRUE,0,embed,1.549196185,,,12,129.8395967
85,100000,1,0.1,10000,TRUE,1,ohe,1.55357122,,,12,158.3144746
86,100000,1,0.1,10000,TRUE,1,lmm,1.18438103,1.057348371,0.165552467,141,2379.769188
87,100000,1,0.1,10000,TRUE,1,ignore,1.225123884,,,35,233.7388318
88,100000,1,0.1,10000,TRUE,1,embed,1.545142292,,,12,120.9954541
89,100000,1,0.1,10000,TRUE,2,ohe,1.516686054,,,12,149.8692791
90,100000,1,0.1,10000,TRUE,2,lmm,1.179524703,1.047235727,0.180582687,136,1975.283265
91,100000,1,0.1,10000,TRUE,2,ignore,1.215671922,,,29,191.2096379
92,100000,1,0.1,10000,TRUE,2,embed,1.540433301,,,12,120.0592632
93,100000,1,0.1,10000,TRUE,3,ohe,1.550588313,,,12,149.0381713
94,100000,1,0.1,10000,TRUE,3,lmm,1.198945771,1.031747222,0.162327603,140,2153.728134
95,100000,1,0.1,10000,TRUE,3,ignore,1.223032324,,,29,187.196656
96,100000,1,0.1,10000,TRUE,3,embed,1.616253896,,,13,123.0083592
97,100000,1,0.1,10000,TRUE,4,ohe,1.509669055,,,12,146.8433044
98,100000,1,0.1,10000,TRUE,4,lmm,1.15687407,1.065397263,0.135943681,175,2746.558697
99,100000,1,0.1,10000,TRUE,4,ignore,1.251609483,,,17,101.3515983
100,100000,1,0.1,10000,TRUE,4,embed,1.545772401,,,13,119.6019201
101,100000,1,0.1,10000,TRUE,5,ohe,1.500491923,,,12,147.1408455
102,100000,1,0.1,10000,TRUE,5,lmm,1.152676507,1.026170969,0.188937992,105,1550.083819
103,100000,1,0.1,10000,TRUE,5,ignore,1.226458161,,,35,233.011615
104,100000,1,0.1,10000,TRUE,5,embed,1.551462884,,,12,122.1781092
105,100000,1,0.1,10000,TRUE,6,ohe,1.510563315,,,12,146.6012342
106,100000,1,0.1,10000,TRUE,6,lmm,1.160954217,0.98175025,0.26329118,97,1092.370564
107,100000,1,0.1,10000,TRUE,6,ignore,1.220134814,,,30,172.7283506
108,100000,1,0.1,10000,TRUE,6,embed,1.538600147,,,13,122.5979648
109,100000,1,0.1,10000,TRUE,7,ohe,1.518126184,,,12,143.4824431
110,100000,1,0.1,10000,TRUE,7,lmm,1.145476505,1.048165202,0.160493731,122,1280.243222
111,100000,1,0.1,10000,TRUE,7,ignore,1.213945162,,,42,234.5557165
112,100000,1,0.1,10000,TRUE,7,embed,1.565557484,,,12,112.0863791
113,100000,1,0.1,10000,TRUE,8,ohe,1.557498606,,,12,138.1550264
114,100000,1,0.1,10000,TRUE,8,lmm,1.201593337,1.067976713,0.151377395,161,2265.798738
115,100000,1,0.1,10000,TRUE,8,ignore,1.220350923,,,33,185.5599992
116,100000,1,0.1,10000,TRUE,8,embed,1.580050002,,,12,119.0228012
117,100000,1,0.1,10000,TRUE,9,ohe,1.574230848,,,11,136.5054066
118,100000,1,0.1,10000,TRUE,9,lmm,1.253471663,0.998833954,0.194223076,114,1209.543225
119,100000,1,0.1,10000,TRUE,9,ignore,1.225765931,,,35,196.4364932
120,100000,1,0.1,10000,TRUE,9,embed,1.564115165,,,12,115.8285048
121,100000,1,1,100,TRUE,0,ohe,1.212144087,,,40,225.6459036
122,100000,1,1,100,TRUE,0,lmm,1.119854074,1.168267608,0.863553226,69,682.1613061
123,100000,1,1,100,TRUE,0,ignore,2.027741048,,,43,234.2770722
124,100000,1,1,100,TRUE,0,embed,1.205229516,,,60,505.7129462
125,100000,1,1,100,TRUE,1,ohe,1.231116717,,,23,165.3349297
126,100000,1,1,100,TRUE,1,lmm,1.132161944,1.163615942,0.828632891,34,552.7679639
127,100000,1,1,100,TRUE,1,ignore,1.993248722,,,26,183.9608581
128,100000,1,1,100,TRUE,1,embed,1.209250324,,,25,248.5117822
129,100000,1,1,100,TRUE,2,ohe,1.238822664,,,27,193.9376771
