id,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
72,100000,1,0.1,10000,TRUE,1,ohe,1.514392125,,,12,137.4486101
73,100000,1,0.1,10000,TRUE,2,embed,1.587736184,,,13,106.6382203
74,100000,1,0.1,10000,TRUE,2,ignore,1.289493652,,,19,99.52554584
75,100000,1,0.1,10000,FALSE,2,lme4,2.973782356,2.912070273,0.108562541,,0.835553169
76,100000,1,0.1,10000,TRUE,2,lmm,1.164208232,1.126101971,0.10621462,44,424.3482754
77,100000,1,0.1,10000,TRUE,2,menet,1.309017401,1.061808251,,300,3125.046499
78,100000,1,0.1,10000,TRUE,2,ohe,1.519050435,,,12,135.670429
79,100000,1,0.1,10000,TRUE,3,embed,1.606645557,,,13,105.7678132
80,100000,1,0.1,10000,TRUE,3,ignore,1.208498695,,,39,202.7588446
81,100000,1,0.1,10000,FALSE,3,lme4,2.909489902,2.874621085,0.114332915,,0.993036032
82,100000,1,0.1,10000,TRUE,3,lmm,1.169000511,1.119850039,0.095916323,55,525.718663
83,100000,1,0.1,10000,TRUE,3,menet,1.397901088,1.139196536,,300,3087.33669
84,100000,1,0.1,10000,TRUE,3,ohe,1.575214327,,,13,143.6141748
85,100000,1,0.1,10000,TRUE,4,embed,1.556380867,,,12,96.73775554
86,100000,1,0.1,10000,TRUE,4,ignore,1.212016084,,,36,186.0004284
87,100000,1,0.1,10000,FALSE,4,lme4,2.944321709,2.889924575,0.09636323,,0.824572086
88,100000,1,0.1,10000,TRUE,4,lmm,1.141428666,1.111138821,0.112444729,63,602.6238983
89,100000,1,0.1,10000,TRUE,4,menet,2.698144287,1.265712917,,173,1764.840173
90,100000,1,0.1,10000,TRUE,4,ohe,1.517715812,,,11,126.6263926
91,100000,1,1,100,TRUE,0,embed,1.248485513,,,34,276.6876028
92,100000,1,1,100,TRUE,0,ignore,2.105399395,,,39,201.8963408
93,100000,1,1,100,FALSE,0,lme4,2.903698173,2.924997198,1.010650306,,0.919994831
94,100000,1,1,100,TRUE,0,lmm,1.062696941,1.152013421,0.893565893,57,509.8857496
95,100000,1,1,100,TRUE,0,menet,1.14828156,1.12908819,,76,1198.255023
96,100000,1,1,100,TRUE,0,ohe,1.246927676,,,49,273.5246546
97,100000,1,1,100,TRUE,1,embed,1.272450032,,,31,242.1952693
98,100000,1,1,100,TRUE,1,ignore,2.210059879,,,19,103.5112488
99,100000,1,1,100,FALSE,1,lme4,3.001299019,2.89552225,1.021505577,,0.706393957
100,100000,1,1,100,TRUE,1,lmm,1.084774175,1.149888039,0.957983673,31,286.3382912
101,100000,1,1,100,TRUE,1,menet,1.172548188,1.147208877,,120,1817.957389
102,100000,1,1,100,TRUE,1,ohe,1.163374073,,,33,182.231369
103,100000,1,1,100,TRUE,2,embed,1.179928021,,,20,148.3233402
104,100000,1,1,100,TRUE,2,ignore,2.130629706,,,32,167.3631217
105,100000,1,1,100,FALSE,2,lme4,2.874142384,2.933012578,0.867558278,,0.878036976
106,100000,1,1,100,TRUE,2,lmm,1.101206011,1.13617003,0.841528416,33,292.9643927
107,100000,1,1,100,TRUE,2,menet,1.116649226,1.087563472,,75,1151.286812
108,100000,1,1,100,TRUE,2,ohe,1.266472812,,,15,82.03259349
109,100000,1,1,100,TRUE,3,embed,1.290509954,,,42,345.90453
110,100000,1,1,100,TRUE,3,ignore,2.284073444,,,43,228.9532628
111,100000,1,1,100,FALSE,3,lme4,2.906518461,2.942222484,1.067092071,,0.671247005
112,100000,1,1,100,TRUE,3,lmm,1.104789429,1.120102882,0.796205103,32,287.3705101
113,100000,1,1,100,TRUE,3,menet,1.194265185,1.160353211,,80,1226.906415
