id,mode,N,sig2e,sig2b,q,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
67,intercepts,100000,1,0.1,1000,1,embed,1.328478532,,,20,39.4413836
68,intercepts,100000,1,0.1,1000,1,lmm,1.257829882,0.280047655,1.178050876,13,48.43740988
69,intercepts,100000,1,0.1,1000,2,ohe,1.386905474,,,14,27.38687205
70,intercepts,100000,1,0.1,1000,2,ignore,2.43117101,,,34,47.98641896
71,intercepts,100000,1,0.1,1000,2,embed,1.325647948,,,26,49.33419514
72,intercepts,100000,1,0.1,1000,2,lmm,1.291237162,0.273965269,1.04112649,14,50.39502335
73,intercepts,100000,1,0.1,1000,3,ohe,1.379871483,,,16,30.01853633
74,intercepts,100000,1,0.1,1000,3,ignore,3.454390346,,,36,49.87511945
75,intercepts,100000,1,0.1,1000,3,embed,1.467320821,,,15,29.11782455
76,intercepts,100000,1,0.1,1000,3,lmm,1.274281183,0.282747418,1.170156717,14,51.19220996
77,intercepts,100000,1,0.1,1000,4,ohe,1.458701069,,,16,30.90792465
78,intercepts,100000,1,0.1,1000,4,ignore,3.335311324,,,88,121.1185277
79,intercepts,100000,1,0.1,1000,4,embed,1.383487402,,,17,32.8068397
80,intercepts,100000,1,0.1,1000,4,lmm,1.330892749,0.26506266,1.14448595,14,49.71758795
81,intercepts,100000,1,1,1000,0,ohe,2.028272296,,,15,28.42404389
82,intercepts,100000,1,1,1000,0,ignore,18.16597941,,,25,34.90032673
83,intercepts,100000,1,1,1000,0,embed,1.740344255,,,62,113.9555132
84,intercepts,100000,1,1,1000,0,lmm,1.288604923,0.304627359,2.021709204,15,55.17140627
85,intercepts,100000,1,1,1000,1,ohe,1.659644111,,,57,93.19428182
86,intercepts,100000,1,1,1000,1,ignore,19.41842062,,,20,27.96412754
87,intercepts,100000,1,1,1000,1,embed,2.339928585,,,19,35.63922381
88,intercepts,100000,1,1,1000,1,lmm,1.316210213,0.287173897,2.055003166,15,52.66208029
89,intercepts,100000,1,1,1000,2,ohe,2.269805444,,,17,31.19715333
90,intercepts,100000,1,1,1000,2,ignore,21.42917632,,,25,34.72001982
91,intercepts,100000,1,1,1000,2,embed,2.406018411,,,17,32.30684686
92,intercepts,100000,1,1,1000,2,lmm,1.219904103,0.289393246,2.07793355,16,55.18984103
93,intercepts,100000,1,1,1000,3,ohe,1.907788653,,,18,32.56245279
94,intercepts,100000,1,1,1000,3,ignore,22.88638529,,,37,51.24695349
95,intercepts,100000,1,1,1000,3,embed,2.683681112,,,40,73.90645027
96,intercepts,100000,1,1,1000,3,lmm,1.263203909,0.29666847,2.134599209,16,55.67210746
97,intercepts,100000,1,1,1000,4,ohe,1.948928348,,,18,32.37986445
98,intercepts,100000,1,1,1000,4,ignore,22.86724011,,,39,53.29371262
99,intercepts,100000,1,1,1000,4,embed,1.941439177,,,24,45.61823392
100,intercepts,100000,1,1,1000,4,lmm,1.236450104,0.294040591,2.219681025,15,52.64932203
101,intercepts,100000,1,10,1000,0,ohe,4.892063368,,,13,24.61530662
102,intercepts,100000,1,10,1000,0,ignore,133.2252545,,,37,50.79883575
103,intercepts,100000,1,10,1000,0,embed,6.119982459,,,12,23.20119858
104,intercepts,100000,1,10,1000,0,lmm,1.341790552,0.310303867,4.081188679,20,65.63348794
105,intercepts,100000,1,10,1000,1,ohe,8.549434041,,,12,23.10850191
106,intercepts,100000,1,10,1000,1,ignore,149.0710204,,,22,30.63566136
107,intercepts,100000,1,10,1000,1,embed,10.46130267,,,11,21.37327957
108,intercepts,100000,1,10,1000,1,lmm,1.28884006,0.313785017,4.285954475,20,65.25344276
109,intercepts,100000,1,10,1000,2,ohe,5.064418478,,,13,24.75508928
110,intercepts,100000,1,10,1000,2,ignore,183.2360789,,,23,32.68113089
111,intercepts,100000,1,10,1000,2,embed,13.70600351,,,11,21.30545378
112,intercepts,100000,1,10,1000,2,lmm,1.367710166,0.316111147,4.54201746,20,64.53817677
113,intercepts,100000,1,10,1000,3,ohe,6.807547585,,,12,23.03426123
114,intercepts,100000,1,10,1000,3,ignore,185.8176045,,,29,39.66168952
115,intercepts,100000,1,10,1000,3,embed,10.62931885,,,11,21.37846661
116,intercepts,100000,1,10,1000,3,lmm,1.349180256,0.319634259,4.541106701,20,65.55513549
117,intercepts,100000,1,10,1000,4,ohe,4.951792896,,,12,23.27128553
118,intercepts,100000,1,10,1000,4,ignore,154.2265393,,,17,23.82273078
119,intercepts,100000,1,10,1000,4,embed,11.67139632,,,11,21.28841901
120,intercepts,100000,1,10,1000,4,lmm,1.269335676,0.306859642,4.350932121,20,65.14069748
121,intercepts,100000,1,0.1,10000,0,ohe,3.171505744,,,15,89.4989922
122,intercepts,100000,1,0.1,10000,0,ignore,20.47021145,,,24,32.98143077
123,intercepts,100000,1,0.1,10000,0,embed,2.452947735,,,28,51.87016916
124,intercepts,100000,1,0.1,10000,0,lmm,2.261429701,0.089509599,0.268945545,14,95.51904964
125,intercepts,100000,1,0.1,10000,1,ohe,3.058935823,,,17,94.39284229
126,intercepts,100000,1,0.1,10000,1,ignore,18.63620867,,,37,49.7736814
127,intercepts,100000,1,0.1,10000,1,embed,2.63509665,,,24,44.49922562
128,intercepts,100000,1,0.1,10000,1,lmm,2.168986655,0.106064893,0.268360764,14,95.62230182
129,intercepts,100000,1,0.1,10000,2,ohe,2.725035311,,,13,84.36607337
130,intercepts,100000,1,0.1,10000,2,ignore,18.61504907,,,41,55.56390977
131,intercepts,100000,1,0.1,10000,2,embed,2.684295688,,,28,83.58049059
132,intercepts,100000,1,0.1,10000,2,lmm,2.240908057,0.120993838,0.255780518,14,96.55172729
133,intercepts,100000,1,0.1,10000,3,ohe,2.807232214,,,18,105.8255203
134,intercepts,100000,1,0.1,10000,3,ignore,17.93671586,,,27,37.9978013
135,intercepts,100000,1,0.1,10000,3,embed,2.592627556,,,25,47.25052452
136,intercepts,100000,1,0.1,10000,3,lmm,2.287610942,0.098291263,0.232280657,14,97.65972805
137,intercepts,100000,1,0.1,10000,4,ohe,2.579425306,,,22,123.0967655
138,intercepts,100000,1,0.1,10000,4,ignore,19.83414394,,,40,55.45335102
139,intercepts,100000,1,0.1,10000,4,embed,2.358838899,,,31,57.63380504
140,intercepts,100000,1,0.1,10000,4,lmm,2.306160879,0.117398143,0.251263857,14,97.28763247
141,intercepts,100000,1,1,10000,0,ohe,5.302048726,,,30,145.5306053
142,intercepts,100000,1,1,10000,0,ignore,176.5641069,,,34,47.22832561
143,intercepts,100000,1,1,10000,0,embed,8.467795349,,,65,120.8035762
144,intercepts,100000,1,1,10000,0,lmm,3.472337174,0.155421853,0.76711762,24,155.7272964
145,intercepts,100000,1,1,10000,1,ohe,6.610966475,,,16,101.0467803
146,intercepts,100000,1,1,10000,1,ignore,165.2696422,,,40,54.51179314
147,intercepts,100000,1,1,10000,1,embed,8.019236337,,,47,88.05336905
148,intercepts,100000,1,1,10000,1,lmm,3.245309125,0.15136987,0.731503189,24,154.703382
149,intercepts,100000,1,1,10000,2,ohe,10.20799763,,,14,95.79572272
150,intercepts,100000,1,1,10000,2,ignore,188.6005282,,,21,29.52377486
151,intercepts,100000,1,1,10000,2,embed,12.77278606,,,13,42.44724774
152,intercepts,100000,1,1,10000,2,lmm,4.146730951,0.177830294,0.871596873,23,148.6653409
153,intercepts,100000,1,1,10000,3,ohe,7.354600387,,,29,140.8000009
154,intercepts,100000,1,1,10000,3,ignore,173.5881822,,,28,38.58001375
155,intercepts,100000,1,1,10000,3,embed,6.885245683,,,45,82.16677189
156,intercepts,100000,1,1,10000,3,lmm,3.285108486,0.163481385,0.807186067,23,148.4731309
157,intercepts,100000,1,1,10000,4,ohe,7.38638981,,,15,98.18679714
158,intercepts,100000,1,1,10000,4,ignore,190.3437568,,,22,31.20363522
159,intercepts,100000,1,1,10000,4,embed,5.39208248,,,63,114.9485216
160,intercepts,100000,1,1,10000,4,lmm,3.404447169,0.172737822,0.877430201,23,148.7523499
161,intercepts,100000,1,10,10000,0,ohe,39.41358767,,,18,108.9387941
162,intercepts,100000,1,10,10000,0,ignore,1849.820362,,,11,16.15564346
163,intercepts,100000,1,10,10000,0,embed,87.8835936,,,17,32.6018374
164,intercepts,100000,1,10,10000,0,lmm,13.23907678,0.270545304,3.376518726,35,216.9898818
165,intercepts,100000,1,10,10000,1,ohe,42.45776279,,,36,162.9766326
166,intercepts,100000,1,10,10000,1,ignore,1818.315644,,,19,26.71497631
167,intercepts,100000,1,10,10000,1,embed,66.52681052,,,16,30.347965
168,intercepts,100000,1,10,10000,1,lmm,13.78054223,0.27347371,3.443851233,34,210.912993
169,intercepts,100000,1,10,10000,2,ohe,21.25635244,,,52,213.3257909
170,intercepts,100000,1,10,10000,2,ignore,1688.584611,,,29,40.45838952
171,intercepts,100000,1,10,10000,2,embed,99.04792596,,,13,25.31712461
172,intercepts,100000,1,10,10000,2,lmm,11.99863217,0.277510464,3.17717576,35,216.9769194
173,intercepts,100000,1,10,10000,3,ohe,42.71042294,,,16,102.6529071
174,intercepts,100000,1,10,10000,3,ignore,1692.084032,,,12,17.33596849
175,intercepts,100000,1,10,10000,3,embed,76.92679991,,,17,32.04778147
176,intercepts,100000,1,10,10000,3,lmm,14.23273841,0.263304919,3.175023556,35,216.3364439
177,intercepts,100000,1,10,10000,4,ohe,35.54875034,,,38,172.0616176
178,intercepts,100000,1,10,10000,4,ignore,1938.331844,,,21,29.47001743
179,intercepts,100000,1,10,10000,4,embed,122.9779836,,,13,25.27918863
180,intercepts,100000,1,10,10000,4,lmm,17.36604329,0.271139175,3.470024824,35,218.229212
181,intercepts,100000,1,0.1,100,0,lme4,2.956226417,2.919884101,0.076676228,0,1.461122036
182,intercepts,100000,1,0.1,100,1,lme4,2.901034961,2.909208108,0.16112039,0,0.928009987
183,intercepts,100000,1,0.1,100,2,lme4,2.889720687,2.91073733,0.073558947,0,0.867362022
184,intercepts,100000,1,0.1,100,3,lme4,2.929954517,2.938102242,0.187332842,0,0.992366076
185,intercepts,100000,1,0.1,100,4,lme4,2.959336962,2.900143989,0.097244488,0,0.77588892
186,intercepts,100000,1,0.1,1000,0,lme4,2.92367253,2.901376796,1.657727442,0,0.975340128
187,intercepts,100000,1,0.1,1000,1,lme4,2.945231363,2.917428837,1.586777486,0,0.65563488
188,intercepts,100000,1,0.1,1000,2,lme4,2.941949645,2.852441752,1.588840312,0,0.647264004
189,intercepts,100000,1,0.1,1000,3,lme4,2.96303653,2.909437966,1.923932016,0,0.656747818
190,intercepts,100000,1,0.1,1000,4,lme4,2.838401001,2.911267122,1.784744221,0,0.741732121
191,intercepts,100000,1,0.1,10000,0,lme4,3.321745991,2.880210459,17.56619774,0,0.81633091
192,intercepts,100000,1,0.1,10000,1,lme4,3.431104303,2.939940527,16.58793925,0,0.801480055
193,intercepts,100000,1,0.1,10000,2,lme4,3.411226567,2.923575806,17.39887517,0,1.221140862
194,intercepts,100000,1,0.1,10000,3,lme4,3.315602976,2.899454908,19.07215262,0,0.864259005
195,intercepts,100000,1,0.1,10000,4,lme4,3.316699257,2.903917505,17.22745408,0,0.873333931
196,intercepts,100000,1,1,100,0,lme4,2.986413088,2.899315286,1.585402535,0,0.624269009
197,intercepts,100000,1,1,100,1,lme4,2.881689745,2.952367474,0.864086388,0,1.004781961
198,intercepts,100000,1,1,100,2,lme4,2.902481416,2.839311238,4.041683567,0,0.667039871
199,intercepts,100000,1,1,100,3,lme4,2.850244416,2.872689911,1.64818469,0,0.980659008
200,intercepts,100000,1,1,100,4,lme4,2.948099754,2.908698626,2.686910457,0,0.781203032
201,intercepts,100000,1,1,1000,0,lme4,2.980067888,2.859401374,24.72735188,0,0.653855085
202,intercepts,100000,1,1,1000,1,lme4,2.994731215,2.911107655,22.36206147,0,0.706460953
203,intercepts,100000,1,1,1000,2,lme4,2.9742226,2.92847179,14.8284933,0,0.670006037
204,intercepts,100000,1,1,1000,3,lme4,2.888986833,2.906529796,23.17065549,0,0.64538002
205,intercepts,100000,1,1,1000,4,lme4,2.889406159,2.918824483,16.95708587,0,0.890044928
206,intercepts,100000,1,1,10000,0,lme4,3.635277028,2.900099305,158.1410949,0,1.088291168
207,intercepts,100000,1,1,10000,1,lme4,3.926885316,2.917095065,171.7841292,0,0.809864044
208,intercepts,100000,1,1,10000,2,lme4,3.843408093,2.893463816,183.1708376,0,0.827615976
209,intercepts,100000,1,1,10000,3,lme4,4.28849939,2.918920981,180.5159154,0,0.910073996
210,intercepts,100000,1,1,10000,4,lme4,3.865333933,2.914495394,182.3674454,0,0.755069971
211,intercepts,100000,1,10,100,0,lme4,2.861678509,2.894018745,9.240039235,0,0.96578908
212,intercepts,100000,1,10,100,1,lme4,2.873751425,2.898190595,25.87661481,0,0.828905106
213,intercepts,100000,1,10,100,2,lme4,2.889149394,2.867642318,20.18893013,0,0.69184494
214,intercepts,100000,1,10,100,3,lme4,2.935750425,2.917251564,14.25182678,0,1.044384003
215,intercepts,100000,1,10,100,4,lme4,2.939920438,2.931611904,16.79339685,0,0.978188992
216,intercepts,100000,1,10,1000,0,lme4,2.897453499,2.894935321,179.41314,0,0.645236015
217,intercepts,100000,1,10,1000,1,lme4,2.909142863,2.939869203,173.7357708,0,0.676862001
218,intercepts,100000,1,10,1000,2,lme4,2.941074568,2.88080953,184.6991703,0,0.668473005
219,intercepts,100000,1,10,1000,3,lme4,2.917748493,2.931524886,187.6368859,0,0.60731101
220,intercepts,100000,1,10,1000,4,lme4,2.928414486,2.926764617,172.7811622,0,0.634521008
221,intercepts,100000,1,10,10000,0,lme4,19.14478901,2.93262069,1785.936438,0,0.98039484
222,intercepts,100000,1,10,10000,1,lme4,11.38084428,2.889420871,1779.396036,0,0.864661932
223,intercepts,100000,1,10,10000,2,lme4,11.24750795,2.948887915,1747.101346,0,0.81307292
224,intercepts,100000,1,10,10000,3,lme4,18.93857825,2.928796173,1791.406455,0,0.801655054
225,intercepts,100000,1,10,10000,4,lme4,7.513148818,2.912972444,1519.458909,0,0.753795862
226,intercepts,100000,1,0.1,100,0,menet,1.148517007,1.109327932,,97,1236.632436
227,intercepts,100000,1,0.1,100,1,menet,1.138143148,1.130198166,,82,1027.936355
228,intercepts,100000,1,0.1,100,2,menet,1.142286509,1.125721858,,112,1431.260774
229,intercepts,100000,1,0.1,100,3,menet,1.144520223,1.12018282,,94,1365.502355
230,intercepts,100000,1,0.1,100,4,menet,1.142350547,1.12505657,,100,1138.516901
231,intercepts,100000,1,1,100,0,menet,1.159481892,1.127586808,,127,1583.461405
232,intercepts,100000,1,1,100,1,menet,1.421754153,1.426879638,,30,378.0434933
233,intercepts,100000,1,1,100,2,menet,1.815813139,1.781714485,,54,668.6314461
234,intercepts,100000,1,1,100,3,menet,1.413746277,1.561476974,,80,601.3762046
235,intercepts,100000,1,1,100,4,menet,1.575780208,1.620614128,,50,516.5028964
236,intercepts,100000,1,10,100,0,menet,3.268235809,3.141553267,,13,165.7875535
237,intercepts,100000,1,10,100,1,menet,2.00763438,2.089355674,,72,882.8805935
238,intercepts,100000,1,10,100,2,menet,1.45826977,1.418935789,,101,1255.759773
239,intercepts,100000,1,10,100,3,menet,2.183370275,2.117936989,,39,819.9861088
240,intercepts,100000,1,10,100,4,menet,2.079854973,1.915729084,,65,1021.231136
241,intercepts,100000,1,0.1,1000,0,menet,2.051693425,2.041191894,,136,1114.103426
242,intercepts,100000,1,0.1,1000,1,menet,1.603303869,1.437371257,,149,1212.046378
243,intercepts,100000,1,0.1,1000,2,menet,1.583975839,1.523991885,,154,1263.486373
244,intercepts,100000,1,0.1,1000,3,menet,1.622100312,1.608675559,,150,1203.858311
245,intercepts,100000,1,0.1,1000,4,menet,1.599617908,1.553550988,,151,1204.427501
246,intercepts,100000,1,1,1000,0,menet,2.445827738,2.384454441,,147,1199.204817
247,intercepts,100000,1,1,1000,1,menet,4.075365013,3.135878726,,52,424.1107395
248,intercepts,100000,1,1,1000,2,menet,1.6707553,1.58204856,,300,2429.143463
249,intercepts,100000,1,1,1000,3,menet,2.738387931,2.478333182,,169,1518.180986
250,intercepts,100000,1,1,1000,4,menet,3.169483627,2.178614474,,194,1540.160057
251,intercepts,100000,1,10,1000,0,menet,38.53827015,36.86127904,,17,141.3282721
252,intercepts,100000,1,10,1000,1,menet,97.18524673,85.66202629,,14,117.1901484
253,intercepts,100000,1,10,1000,2,menet,81.48696998,71.46076422,,14,118.4842131
254,intercepts,100000,1,10,1000,3,menet,89.55438057,69.39137341,,15,122.379076
255,intercepts,100000,1,10,1000,4,menet,92.72907785,71.92082573,,14,119.1877072
256,intercepts,100000,1,0.1,10000,0,menet,6.759997861,2.984602753,,300,3089.279377
257,intercepts,100000,1,0.1,10000,1,menet,2.204500986,1.733076344,,300,3104.379175
258,intercepts,100000,1,0.1,10000,2,menet,2.746636691,2.03942714,,300,3103.46195
