,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,deep,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
1,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,0,ohe,1.198857843,,,,,,,45,272.760195
2,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,0,lmm,1.108654978,1.149074674,0.813506663,0.690984368,0.158578664,0.063432336,0.15267615,32,464.6122098
3,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,0,ignore,2.012866201,,,,,,,40,236.9011116
4,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,0,embed,1.233852582,,,,,,,23,213.8018017
5,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,1,ohe,1.215497104,,,,,,,21,113.1997833
6,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,1,lmm,1.118754141,1.143161058,0.575105608,0.016278485,1.336741567,-0.593997359,-0.052277848,35,490.7742109
7,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,1,ignore,1.78328451,,,,,,,50,266.4944079
8,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,1,embed,1.150509256,,,,,,,36,294.0227461
9,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,2,ohe,1.235532359,,,,,,,38,206.8565247
10,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,2,lmm,1.138769575,1.116520047,0.772027194,0.050932173,0.030967215,0.5578022,-0.848642647,47,662.6487761
11,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,2,ignore,1.888201935,,,,,,,40,216.6602118
12,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,2,embed,1.20896585,,,,,,,33,259.636966
13,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,3,ohe,1.2577704,,,,,,,24,133.9801431
14,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,3,lmm,1.102382657,1.153162599,0.646783948,0.86523062,0.023764092,-0.068963878,-0.222842276,25,383.4063933
15,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,3,ignore,1.934485467,,,,,,,40,212.3403213
16,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,3,embed,1.194217074,,,,,,,32,260.6653671
17,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,4,ohe,1.297768848,,,,,,,16,92.90615559
18,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,4,lmm,1.110283314,1.117052555,0.842659593,0.003919112,0.002993529,-0.77202493,-0.820785165,31,433.5598183
19,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,4,ignore,1.800599833,,,,,,,25,141.517422
20,slopes,100000,1,0.5,0.5,0.5,100,0.5,0.5,TRUE,4,embed,1.159745947,,,,,,,47,384.0258279
21,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,0,ohe,1.322989062,,,,,,,34,187.5180485
22,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,0,lmm,1.199638002,1.139914632,0.691650748,0.754888713,3.447642565,-0.40164113,0.923639953,36,500.9012351
23,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,0,ignore,2.009191268,,,,,,,17,90.32894802
24,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,0,embed,1.183342602,,,,,,,25,204.4832261
25,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,1,ohe,1.233213155,,,,,,,26,141.9182637
26,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,1,lmm,1.153743791,1.169889808,0.697348773,0.978401899,0.011408559,0.099120431,-0.202495828,17,247.2715306
27,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,1,ignore,2.107703793,,,,,,,46,248.260848
28,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,1,embed,1.204905358,,,,,,,21,167.4179673
29,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,2,ohe,1.212268695,,,,,,,33,181.5884883
30,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,2,lmm,1.14150583,1.133657694,0.678088725,2.47638917,5.535268307,-0.683663249,0.886293948,48,685.5659254
31,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,2,ignore,2.045288627,,,,,,,20,106.2898173
32,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,2,embed,1.323978901,,,,,,,18,149.216948
33,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,3,ohe,1.235209239,,,,,,,22,123.8273435
34,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,3,lmm,1.100948999,1.117932677,0.618096352,1.592999935,3.093156099,-0.161241502,0.900036812,39,560.5851107
35,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,3,ignore,2.183520607,,,,,,,24,127.5370815
36,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,3,embed,1.249333259,,,,,,,15,118.3477867
37,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,4,ohe,1.254109937,,,,,,,26,140.906723
38,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,4,lmm,1.152399416,1.134260893,0.552935302,1.443446755,2.944085121,-0.198251128,0.774183512,25,357.6396763
39,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,4,ignore,2.064303336,,,,,,,68,362.7832417
40,slopes,100000,1,0.5,0.5,5,100,0.5,0.5,TRUE,4,embed,1.257181583,,,,,,,39,317.9638436
41,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,0,ohe,1.318376781,,,,,,,20,108.9903893
42,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,0,lmm,1.203038007,1.140259385,0.800789773,1.537121415,1.218117595,0.707849801,0.437967479,47,664.1622963
43,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,0,ignore,2.759404659,,,,,,,29,155.0146194
44,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,0,embed,1.324842058,,,,,,,13,107.6009247
45,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,1,ohe,1.227878602,,,,,,,47,257.7377415
46,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,1,lmm,1.136021146,1.147533178,0.575393796,2.227239132,2.419076681,0.606109619,0.992166281,39,551.8519127
47,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,1,ignore,2.495715861,,,,,,,21,111.8728876
48,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,1,embed,1.286317147,,,,,,,15,118.4029746
49,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,2,ohe,1.287215898,,,,,,,17,93.84184933
50,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,2,lmm,1.084751602,1.134025216,0.553183675,1.500232577,1.586610675,0.522630572,0.344150692,42,589.3473327
51,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,2,ignore,2.350962008,,,,,,,25,131.7747583
52,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,2,embed,1.285255417,,,,,,,20,156.8247859
53,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,3,ohe,1.284564857,,,,,,,18,100.057662
54,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,3,lmm,1.089350005,1.135082245,0.637260139,1.431001663,0.881695032,0.619698822,0.3670021,34,481.5330794
55,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,3,ignore,2.437559368,,,,,,,28,151.918328
56,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,3,embed,1.314043209,,,,,,,40,325.8681724
57,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,4,ohe,1.267972808,,,,,,,28,153.2670691
58,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,4,lmm,1.086312173,1.113066196,0.629706979,2.716544867,4.247257233,0.759994686,0.96118623,41,579.6020119
59,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,4,ignore,2.90871147,,,,,,,16,86.55089784
60,slopes,100000,1,0.5,5,0.5,100,0.5,0.5,TRUE,4,embed,1.242799812,,,,,,,42,327.639333
61,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,0,ohe,1.292957204,,,,,,,38,204.9736471
62,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,0,lmm,1.075114549,1.187342405,0.630445421,1.843324542,1.49576056,0.609475493,0.796378613,30,419.4945419
63,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,0,ignore,2.151702449,,,,,,,56,302.0222325
64,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,0,embed,1.223978367,,,,,,,14,111.3873188
65,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,1,ohe,1.214438068,,,,,,,39,213.7660251
66,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,1,lmm,1.091753158,1.11297214,0.528983057,1.070779324,0.793706,0.469117194,-0.025922133,53,756.5390139
67,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,1,ignore,1.985508229,,,,,,,22,118.2761919
68,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,1,embed,1.20370418,,,,,,,46,358.3408103
69,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,2,ohe,1.43660128,,,,,,,17,94.26925874
70,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,2,lmm,1.146003298,1.146542907,0.495086581,1.802726746,3.993988752,-0.07986854,0.723707438,27,383.2133164
71,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,2,ignore,2.526550455,,,,,,,23,124.675771
72,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,2,embed,1.273779188,,,,,,,27,214.332484
73,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,3,ohe,1.325661279,,,,,,,25,136.4475429
74,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,3,lmm,1.08641495,1.109027147,0.709769487,2.4401052,3.843292475,0.705667317,0.947316527,42,598.1950765
75,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,3,ignore,2.724438828,,,,,,,19,104.2892175
76,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,3,embed,1.217237452,,,,,,,37,305.2980752
77,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,4,ohe,1.301956742,,,,,,,16,86.96968317
78,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,4,lmm,1.111931709,1.097705007,0.631990612,2.262154102,2.807643652,0.673742414,0.871782303,59,832.5607665
79,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,4,ignore,3.078052721,,,,,,,27,145.2356148
80,slopes,100000,1,0.5,5,5,100,0.5,0.5,TRUE,4,embed,1.401916445,,,,,,,33,273.0833173
81,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,0,ohe,1.405308698,,,,,,,25,136.1688492
82,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,0,lmm,1.118121853,1.116465449,5.137866497,1.041891813,2.49183321,0.296956867,-0.829197824,33,470.1152601
83,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,0,ignore,6.784381559,,,,,,,25,134.7699769
84,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,0,embed,1.49173566,,,,,,,34,267.3884382
85,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,1,ohe,1.41128217,,,,,,,14,77.04025388
86,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,1,lmm,1.083221312,1.118683696,4.493232727,1.838026643,0.287084609,0.375069201,-0.194697782,25,359.0348856
87,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,1,ignore,7.179182129,,,,,,,37,195.5569601
88,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,1,embed,1.39906708,,,,,,,32,250.5980215
89,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,2,ohe,1.440017708,,,,,,,13,70.75150561
90,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,2,lmm,1.107857611,1.146021128,5.265094757,0.820056319,1.718351007,0.306221277,-0.941270113,38,537.9983635
91,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,2,ignore,6.173616635,,,,,,,15,81.18410826
92,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,2,embed,1.472994472,,,,,,,17,134.5155997
93,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,3,ohe,1.40668887,,,,,,,22,118.6579227
94,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,3,lmm,1.083660929,1.113866568,4.964697361,1.108218431,2.171811342,0.19678627,-0.882031441,53,745.7598743
95,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,3,ignore,6.485372369,,,,,,,20,111.3286598
96,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,3,embed,1.462501115,,,,,,,15,124.3550274
97,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,4,ohe,1.432012982,,,,,,,26,141.1978867
98,slopes,100000,1,5,0.5,0.5,100,0.5,0.5,TRUE,4,lmm,1.087233242,1.137104511,3.716840744,1.306492448,0.773679018,0.1315303,-0.411960304,26,373.8701208
