,mode,N,sig2e,sig2b0,q0,p_censor,weibull_nu,weibull_lambda,experiment,exp_type,concordance,sig2e_est,sig2b_est0,weibull_nu_est,weibull_lambda_est,n_epochs,time
54,survival,100000,1,10,100,10,2,1,3,coxph,0.698356642,,2.185331184,,,0,15.21458602
55,survival,100000,1,10,100,30,2,1,1,coxph,0.897410674,,4.515315222,,,0,16.86172485
56,survival,100000,1,10,100,30,2,1,2,coxph,0.797828026,,4.550893405,,,0,15.39991283
57,survival,100000,1,10,100,30,2,1,3,coxph,0.621248663,,2.346611911,,,0,14.87068796
58,survival,100000,1,10,1000,1,2,1,1,coxph,0.606939546,,2.504275415,,,0,240.8204749
59,survival,100000,1,10,1000,1,2,1,2,coxph,0.681765631,,2.273900564,,,0,189.645231
60,survival,100000,1,10,1000,1,2,1,3,coxph,0.589283048,,1.281119669,,,0,221.807678
61,survival,100000,1,10,1000,10,2,1,1,coxph,0.605154719,,2.264540575,,,0,165.057301
62,survival,100000,1,10,1000,10,2,1,2,coxph,0.583891963,,1.152077739,,,0,184.117996
63,survival,100000,1,10,1000,10,2,1,3,coxph,0.565781221,,2.246402424,,,0,209.6220629
64,survival,100000,1,10,1000,30,2,1,1,coxph,0.598409211,,1.382864518,,,0,111.7089281
65,survival,100000,1,10,1000,30,2,1,2,coxph,0.606605003,,2.528743771,,,0,154.950043
66,survival,100000,1,10,1000,30,2,1,3,coxph,0.585970545,,1.233999093,,,0,163.2923338
67,survival,100000,1,10,10000,1,2,1,1,coxph,0.596043148,,0.472470334,,,0,1125.257016
68,survival,100000,1,10,10000,1,2,1,2,coxph,0.611988732,,0.498494103,,,0,1663.028488
69,survival,100000,1,10,10000,10,2,1,1,coxph,0.572893417,,0.482987619,,,0,1002.371659
70,survival,100000,1,10,10000,10,2,1,2,coxph,0.580445176,,0.471526264,,,0,998.0894849
71,survival,100000,1,10,10000,30,2,1,1,coxph,0.574906471,,0.403246352,,,0,1005.170702
72,survival,100000,1,10,10000,30,2,1,2,coxph,0.563553389,,0.334007066,,,0,828.7066829
73,survival,100000,1,0.1,100,1,1,2,0,lmm,0.764962973,,0.119602576,1.336271524,1.887722135,56,260.9995992
74,survival,100000,1,0.1,100,1,1,2,1,lmm,0.769337152,,0.103509314,1.058395863,1.864598274,34,157.2325642
75,survival,100000,1,0.1,100,1,1,2,2,lmm,0.766055622,,0.090739019,1.126381278,1.864019394,39,175.3528957
76,survival,100000,1,0.1,100,10,1,2,0,lmm,0.764623548,,0.527056158,0.617334366,1.864325881,29,133.7186396
77,survival,100000,1,0.1,100,10,1,2,1,lmm,0.766930925,,0.566023827,1.032898188,1.85436964,31,142.3363421
78,survival,100000,1,0.1,100,10,1,2,2,lmm,0.76980815,,0.573739111,0.872333825,1.883321404,40,183.31651
79,survival,100000,1,0.1,100,30,1,2,0,lmm,0.76203481,,2.381051064,1.451868296,1.87617588,42,191.0994036
80,survival,100000,1,0.1,100,30,1,2,1,lmm,0.762689418,,2.421028376,0.801568329,1.829128146,33,155.3815632
81,survival,100000,1,0.1,100,30,1,2,2,lmm,0.759769821,,2.371999741,1.006151319,1.89707458,69,313.3765702
82,survival,100000,1,0.1,1000,1,1,2,0,lmm,0.763827633,,0.089152984,0.764469206,1.885138035,39,203.9369431
83,survival,100000,1,0.1,1000,1,1,2,1,lmm,0.764539379,,0.091026314,0.828020751,1.883002162,53,275.4547713
84,survival,100000,1,0.1,1000,1,1,2,2,lmm,0.761135784,,0.095962487,1.553294182,1.874361992,34,177.1145043
85,survival,100000,1,0.1,1000,10,1,2,0,lmm,0.764736172,,0.145699739,0.952530026,1.860326409,33,173.4657631
86,survival,100000,1,0.1,1000,10,1,2,1,lmm,0.764896478,,0.135510013,0.783114254,1.88437748,41,219.573343
87,survival,100000,1,0.1,1000,10,1,2,2,lmm,0.768587238,,0.148946613,1.038520694,1.886216283,56,289.5908024
88,survival,100000,1,0.1,1000,30,1,2,0,lmm,0.761687014,,0.568593323,0.617919683,1.888347983,47,246.6293321
89,survival,100000,1,0.1,1000,30,1,2,1,lmm,0.76709041,,0.640375972,0.562416434,1.866323948,26,139.0864301
90,survival,100000,1,0.1,1000,30,1,2,2,lmm,0.761092051,,0.597341299,1.170997262,1.869588017,25,132.0982058
91,survival,100000,1,0.1,10000,1,1,2,0,lmm,0.758420474,,0.103565052,1.182255864,1.873130202,39,215.6967869
92,survival,100000,1,0.1,10000,1,1,2,1,lmm,0.753961018,,0.106168479,1.075132608,1.881668091,29,154.5909071
93,survival,100000,1,0.1,10000,1,1,2,2,lmm,0.763338956,,0.0832908,1.122825384,1.901848197,50,242.9388139
94,survival,100000,1,0.1,10000,10,1,2,0,lmm,0.756382655,,0.105987288,1.082432151,1.856582642,35,188.9781597
95,survival,100000,1,0.1,10000,10,1,2,1,lmm,0.760960925,,0.095673457,0.867082775,1.870773673,30,174.358829
96,survival,100000,1,0.1,10000,10,1,2,2,lmm,0.760930235,,0.096803173,0.767321527,1.867633939,32,174.5808904
97,survival,100000,1,0.1,10000,30,1,2,0,lmm,0.754644325,,0.126904279,1.201558471,1.863149762,34,199.9421351
98,survival,100000,1,0.1,10000,30,1,2,1,lmm,0.761699344,,0.118130498,1.090546966,1.859641194,36,185.2713332
99,survival,100000,1,0.1,10000,30,1,2,2,lmm,0.757913377,,0.120743655,0.855197012,1.869459033,42,216.5079508
100,survival,100000,1,1,100,1,1,2,0,lmm,0.81267594,,0.985697806,1.326353908,1.891465902,71,313.2155149
101,survival,100000,1,1,100,1,1,2,1,lmm,0.812693917,,0.947108448,0.381409109,1.886952758,51,242.9179227
102,survival,100000,1,1,100,1,1,2,2,lmm,0.808101636,,0.843918681,1.692239761,1.895247936,68,307.2110183
103,survival,100000,1,1,100,10,1,2,0,lmm,0.810574882,,1.537239313,1.455128193,1.840956807,43,198.5710969
104,survival,100000,1,1,100,10,1,2,1,lmm,0.811598076,,1.466135263,0.936177731,1.860940456,43,198.4087894
105,survival,100000,1,1,100,10,1,2,2,lmm,0.817651293,,1.743231535,0.836429715,1.856449842,25,119.8607461
106,survival,100000,1,1,100,30,1,2,0,lmm,0.806734352,,3.363152742,0.556181371,1.865855455,53,251.2601101
107,survival,100000,1,1,100,30,1,2,1,lmm,0.81094621,,3.255306721,0.673218071,1.870439291,50,226.847611
108,survival,100000,1,1,100,30,1,2,2,lmm,0.807908981,,3.469905853,1.04369688,1.886023641,51,230.561424
109,survival,100000,1,1,1000,1,1,2,0,lmm,0.81225824,,0.966130972,0.622845411,1.890987754,53,278.4500535
110,survival,100000,1,1,1000,1,1,2,1,lmm,0.811791166,,0.959049702,0.953831553,1.865891576,38,191.1667063
111,survival,100000,1,1,1000,1,1,2,2,lmm,0.810708212,,0.945196331,0.895382047,1.878236294,49,246.8514926
112,survival,100000,1,1,1000,10,1,2,0,lmm,0.812588143,,1.058481812,0.653971612,1.84352994,28,155.3441098
113,survival,100000,1,1,1000,10,1,2,1,lmm,0.813035949,,1.053944588,0.619182348,1.867962003,42,219.0140157
114,survival,100000,1,1,1000,10,1,2,2,lmm,0.811679012,,0.984747827,0.814120948,1.867471814,40,203.611613
115,survival,100000,1,1,1000,30,1,2,0,lmm,0.807885378,,1.484805822,0.501312077,1.878542066,30,151.6006744
116,survival,100000,1,1,1000,30,1,2,1,lmm,0.808042914,,1.575068116,0.316682488,1.874453902,49,253.2376125
117,survival,100000,1,1,1000,30,1,2,2,lmm,0.806468184,,1.556490541,0.712834597,1.853057981,25,136.2839901
118,survival,100000,1,1,10000,1,1,2,0,lmm,0.801649102,,0.981750131,0.879622698,1.905835032,47,239.8356547
119,survival,100000,1,1,10000,1,1,2,1,lmm,0.800174932,,0.914585173,0.837723553,1.863609791,28,149.4191992
120,survival,100000,1,1,10000,1,1,2,2,lmm,0.800609344,,0.912362993,0.943960249,1.891408086,42,220.2051475
121,survival,100000,1,1,10000,10,1,2,0,lmm,0.793868555,,0.90890795,0.159233406,1.859498858,35,187.3072157
122,survival,100000,1,1,10000,10,1,2,1,lmm,0.801169309,,0.942437708,1.194624782,1.878371477,34,179.3189979
123,survival,100000,1,1,10000,10,1,2,2,lmm,0.797601698,,0.902483702,1.009312749,1.861310005,40,222.8564477
124,survival,100000,1,1,10000,30,1,2,0,lmm,0.797807248,,0.960802615,1.082151532,1.835214138,36,200.6165102
125,survival,100000,1,1,10000,30,1,2,1,lmm,0.797712683,,0.922548354,1.063800693,1.832087398,38,215.1924949
126,survival,100000,1,1,10000,30,1,2,2,lmm,0.792843953,,0.912205577,1.351452708,1.815662026,33,184.5922487
127,survival,100000,1,10,100,1,1,2,0,lmm,0.934920199,,8.101059914,0.607422173,1.875724196,43,203.1908431
128,survival,100000,1,10,100,1,1,2,1,lmm,0.944675006,,8.803267479,0.523943782,1.874576211,39,188.0205624
129,survival,100000,1,10,100,1,1,2,2,lmm,0.942231454,,9.283912659,0.612933695,1.882947087,51,249.1374714
130,survival,100000,1,10,100,10,1,2,0,lmm,0.948206906,,9.574551582,0.866529226,1.860332608,38,190.876914
131,survival,100000,1,10,100,10,1,2,1,lmm,0.94238254,,9.940868378,1.933563828,1.8816185,73,342.5868585
132,survival,100000,1,10,100,10,1,2,2,lmm,0.938372764,,9.681340218,0.707246542,1.866363049,57,258.3636656
133,survival,100000,1,10,100,30,1,2,0,lmm,0.946237937,,14.88589668,0.792829216,1.867415428,55,241.9432681
134,survival,100000,1,10,100,30,1,2,1,lmm,0.94054611,,12.73907471,1.014266253,1.873458028,53,254.6087832
135,survival,100000,1,10,100,30,1,2,2,lmm,0.946924788,,13.71611214,0.380865574,1.873873949,55,280.0532587
136,survival,100000,1,10,1000,1,1,2,0,lmm,0.943552571,,9.263130188,1.28705287,1.883427739,69,344.2949276
137,survival,100000,1,10,1000,1,1,2,1,lmm,0.939809503,,9.036345482,0.949611485,1.879865527,53,268.5825887
138,survival,100000,1,10,1000,1,1,2,2,lmm,0.941203408,,8.867361069,0.429412097,1.883615851,39,197.2530365
139,survival,100000,1,10,1000,10,1,2,0,lmm,0.944325564,,9.945406914,0.867895246,1.878167033,52,269.7724864
140,survival,100000,1,10,1000,10,1,2,1,lmm,0.943770597,,9.854551315,0.636312068,1.862148404,43,227.6739972
141,survival,100000,1,10,1000,10,1,2,2,lmm,0.944020129,,9.150776863,0.736786902,1.85095191,33,161.9842994
142,survival,100000,1,10,1000,30,1,2,0,lmm,0.940604361,,10.49593544,0.466310471,1.856463313,45,222.3601441
143,survival,100000,1,10,1000,30,1,2,1,lmm,0.943129001,,10.38357353,0.905491829,1.867398262,43,209.0295308
144,survival,100000,1,10,1000,30,1,2,2,lmm,0.943890469,,11.17140961,0.531523526,1.83954978,46,234.4815037
145,survival,100000,1,10,10000,1,1,2,0,lmm,0.93668002,,9.448295593,1.234194756,1.895414591,45,248.2223623
146,survival,100000,1,10,10000,1,1,2,1,lmm,0.93755488,,9.315797806,0.825133383,1.869562387,30,173.9632139
147,survival,100000,1,10,10000,1,1,2,2,lmm,0.936661789,,9.23812294,1.360944629,1.886139512,32,177.0961399
148,survival,100000,1,10,10000,10,1,2,0,lmm,0.938880224,,9.434436798,1.283105493,1.862674832,43,225.8415101
149,survival,100000,1,10,10000,10,1,2,1,lmm,0.93592349,,9.409088135,1.424597859,1.879082084,38,228.841995
150,survival,100000,1,10,10000,10,1,2,2,lmm,0.938652663,,9.705060005,1.095705509,1.871697783,61,332.5780654
151,survival,100000,1,10,10000,30,1,2,0,lmm,0.935586866,,9.358624458,1.331502914,1.806320071,47,260.6229687
152,survival,100000,1,10,10000,30,1,2,1,lmm,0.93444211,,9.400602341,0.751356542,1.833803892,72,377.8739097
153,survival,100000,1,10,10000,30,1,2,2,lmm,0.934498741,,9.318293571,0.89603734,1.816708326,36,199.301008
154,survival,100000,1,0.1,100,1,2,1,1,survreg,0.644552082,,2.247141909,,,0,2.588124037
155,survival,100000,1,0.1,100,1,2,1,2,survreg,0.647170694,,2.249895182,,,0,2.894721031
156,survival,100000,1,0.1,100,1,2,1,3,survreg,0.648585596,,2.255509875,,,0,2.31100297
157,survival,100000,1,0.1,100,1,2,1,4,survreg,0.646538676,,2.311489526,,,0,2.397001028
158,survival,100000,1,0.1,100,1,2,1,5,survreg,0.64825229,,2.516068492,,,0,2.443001986
159,survival,100000,1,0.1,100,10,2,1,1,survreg,0.647336593,,5.017865707,,,0,2.078287125
160,survival,100000,1,0.1,100,10,2,1,2,survreg,0.643566731,,4.609461336,,,0,2.716999054
161,survival,100000,1,0.1,100,10,2,1,3,survreg,0.650919789,,4.339669999,,,0,2.283771992
162,survival,100000,1,0.1,100,10,2,1,4,survreg,0.643883398,,4.912857935,,,0,2.754997969
163,survival,100000,1,0.1,100,10,2,1,5,survreg,0.649266326,,4.503783997,,,0,2.482998848
164,survival,100000,1,0.1,100,30,2,1,1,survreg,0.646920239,,0.495466789,,,0,2.889997959
165,survival,100000,1,0.1,100,30,2,1,2,survreg,0.645203279,,0.052396718,,,0,3.274083138
166,survival,100000,1,0.1,100,30,2,1,3,survreg,0.651082183,,1.001079129,,,0,2.418001175
167,survival,100000,1,0.1,100,30,2,1,4,survreg,0.644955385,,0.024557506,,,0,3.895898104
168,survival,100000,1,0.1,100,30,2,1,5,survreg,0.650507806,,0.107848477,,,0,3.052002192
169,survival,100000,1,0.1,1000,1,2,1,1,survreg,0.637672001,,1.114623738,,,0,2.613539934
170,survival,100000,1,0.1,1000,1,2,1,2,survreg,0.642027552,,1.098065607,,,0,2.845000029
171,survival,100000,1,0.1,1000,1,2,1,3,survreg,0.632437027,,1.103334454,,,0,2.54768014
172,survival,100000,1,0.1,1000,1,2,1,4,survreg,0.637894748,,1.099471274,,,0,2.618999004
173,survival,100000,1,0.1,1000,1,2,1,5,survreg,0.637147226,,1.09829259,,,0,2.578057051
174,survival,100000,1,0.1,1000,10,2,1,1,survreg,0.639213756,,1.149670533,,,0,2.375001907
175,survival,100000,1,0.1,1000,10,2,1,2,survreg,0.63707226,,1.136170874,,,0,2.382674932
176,survival,100000,1,0.1,1000,10,2,1,3,survreg,0.633950569,,1.119248325,,,0,2.588001013
177,survival,100000,1,0.1,1000,10,2,1,4,survreg,0.632399309,,1.19154265,,,0,2.888050079
178,survival,100000,1,0.1,1000,10,2,1,5,survreg,0.629603804,,1.198757312,,,0,2.625061989
179,survival,100000,1,0.1,1000,30,2,1,1,survreg,0.633789268,,1.006714544,,,0,2.77334404
180,survival,100000,1,0.1,1000,30,2,1,2,survreg,0.635004071,,2.011309035,,,0,5.833039999
181,survival,100000,1,0.1,1000,30,2,1,3,survreg,0.632140561,,0.233354296,,,0,2.97902298
182,survival,100000,1,0.1,1000,30,2,1,4,survreg,0.633487206,,0.091038676,,,0,3.346027851
183,survival,100000,1,0.1,1000,30,2,1,5,survreg,0.627311521,,0.125377516,,,0,4.435002089
184,survival,100000,1,0.1,10000,1,2,1,1,survreg,0.629078295,,0.178074784,,,0,3.777268887
185,survival,100000,1,0.1,10000,1,2,1,2,survreg,0.621040803,,1.444273768,,,0,4.073000193
186,survival,100000,1,0.1,10000,1,2,1,3,survreg,0.622611998,,0.607117157,,,0,4.024513006
187,survival,100000,1,0.1,10000,1,2,1,4,survreg,0.626666843,,0.190069824,,,0,3.800004005
188,survival,100000,1,0.1,10000,1,2,1,5,survreg,0.624057651,,0.36244594,,,0,4.205562115
189,survival,100000,1,0.1,10000,10,2,1,1,survreg,0.635058583,,0.100008639,,,0,3.267000198
190,survival,100000,1,0.1,10000,10,2,1,2,survreg,0.634567211,,0.098983577,,,0,3.270997047
191,survival,100000,1,0.1,10000,10,2,1,3,survreg,0.630667235,,0.103966344,,,0,4.25199914
192,survival,100000,1,0.1,10000,10,2,1,4,survreg,0.630575878,,0.098902229,,,0,3.752999067
193,survival,100000,1,0.1,10000,10,2,1,5,survreg,0.634025594,,0.098778197,,,0,3.731034994
194,survival,100000,1,0.1,10000,30,2,1,1,survreg,0.514757637,,0.490854776,,,0,4.705240011
195,survival,100000,1,0.1,10000,30,2,1,2,survreg,0.544212067,,1.01116038,,,0,4.270040989
196,survival,100000,1,0.1,10000,30,2,1,3,survreg,0.575389626,,0.409125208,,,0,4.313548088
197,survival,100000,1,0.1,10000,30,2,1,4,survreg,0.545705682,,0.485097306,,,0,4.580514193
198,survival,100000,1,0.1,10000,30,2,1,5,survreg,0.513917328,,1.003382718,,,0,4.355501175
199,survival,100000,1,1,100,1,2,1,1,survreg,0.63949566,,0.995736918,,,0,4.343997955
200,survival,100000,1,1,100,1,2,1,2,survreg,0.630061882,,0.987171683,,,0,3.378200054
201,survival,100000,1,1,100,1,2,1,3,survreg,0.615377093,,0.866664026,,,0,2.029998064
202,survival,100000,1,1,100,1,2,1,4,survreg,0.650753685,,1.004249922,,,0,2.546001911
203,survival,100000,1,1,100,1,2,1,5,survreg,0.672174063,,0.993310422,,,0,2.765001059
204,survival,100000,1,1,100,10,2,1,1,survreg,0.661743501,,1.005523742,,,0,2.538997889
205,survival,100000,1,1,100,10,2,1,2,survreg,0.684274089,,0.99595572,,,0,2.589001179
206,survival,100000,1,1,100,10,2,1,3,survreg,0.628488463,,0.993665517,,,0,2.270999908
207,survival,100000,1,1,100,10,2,1,4,survreg,0.636072427,,0.991748417,,,0,2.419000864
208,survival,100000,1,1,100,10,2,1,5,survreg,0.621651558,,0.998965992,,,0,2.380969048
209,survival,100000,1,1,100,30,2,1,1,survreg,0.577953937,,1.010025808,,,0,2.767999887
210,survival,100000,1,1,100,30,2,1,2,survreg,0.595885057,,0.99602131,,,0,2.416968107
211,survival,100000,1,1,100,30,2,1,3,survreg,0.589979271,,0.994550103,,,0,2.559999943
212,survival,100000,1,1,100,30,2,1,4,survreg,0.613552281,,0.99530476,,,0,2.569546938
213,survival,100000,1,1,100,30,2,1,5,survreg,0.575867985,,0.996472616,,,0,2.830997944
214,survival,100000,1,1,1000,1,2,1,1,survreg,0.680552901,,1.005423429,,,0,2.74052
215,survival,100000,1,1,1000,1,2,1,2,survreg,0.672730218,,0.996096643,,,0,2.653048038
216,survival,100000,1,1,1000,1,2,1,3,survreg,0.676985626,,0.994461845,,,0,3.097008944
217,survival,100000,1,1,1000,1,2,1,4,survreg,0.678842764,,0.465477587,,,0,2.795076132
218,survival,100000,1,1,1000,1,2,1,5,survreg,0.670578667,,0.993905077,,,0,3.085012913
219,survival,100000,1,1,1000,10,2,1,1,survreg,0.664321851,,0.997753119,,,0,2.700000048
220,survival,100000,1,1,1000,10,2,1,2,survreg,0.664982473,,1.000185748,,,0,3.096001863
221,survival,100000,1,1,1000,10,2,1,3,survreg,0.663480926,,0.992813798,,,0,2.949032068
222,survival,100000,1,1,1000,10,2,1,4,survreg,0.658675216,,1.004326845,,,0,2.66604805
223,survival,100000,1,1,1000,10,2,1,5,survreg,0.650797507,,0.993698733,,,0,2.679001093
224,survival,100000,1,1,1000,30,2,1,1,survreg,0.597836334,,1.001061976,,,0,3.078011036
225,survival,100000,1,1,1000,30,2,1,2,survreg,0.599843926,,1.000890094,,,0,2.710997105
226,survival,100000,1,1,1000,30,2,1,3,survreg,0.582709638,,1.000567142,,,0,2.910000086
227,survival,100000,1,1,1000,30,2,1,4,survreg,0.579647044,,1.002178577,,,0,2.624548912
228,survival,100000,1,1,1000,30,2,1,5,survreg,0.596934096,,0.999760574,,,0,2.675000906
229,survival,100000,1,1,10000,1,2,1,1,survreg,0.674039679,,1.040188093,,,0,3.649998188
230,survival,100000,1,1,10000,1,2,1,2,survreg,0.681368785,,0.996991477,,,0,3.591517925
231,survival,100000,1,1,10000,1,2,1,3,survreg,0.680537898,,0.997892597,,,0,3.276141882
232,survival,100000,1,1,10000,1,2,1,4,survreg,0.667941528,,1.007395311,,,0,3.619013071
233,survival,100000,1,1,10000,1,2,1,5,survreg,0.681100699,,1.000525784,,,0,3.295516968
234,survival,100000,1,1,10000,10,2,1,1,survreg,0.672847074,,0.994893929,,,0,3.380001068
235,survival,100000,1,1,10000,10,2,1,2,survreg,0.649833731,,0.996161026,,,0,3.291013956
236,survival,100000,1,1,10000,10,2,1,3,survreg,0.668918348,,1.005641595,,,0,3.069414854
237,survival,100000,1,1,10000,10,2,1,4,survreg,0.649088707,,0.999887339,,,0,3.4669981
238,survival,100000,1,10,100,1,2,1,1,survreg,0.774709192,,0.996686599,,,0,1.912971973
239,survival,100000,1,10,100,1,2,1,2,survreg,0.716351384,,0.986570638,,,0,2.126222849
240,survival,100000,1,10,100,1,2,1,3,survreg,0.804937123,,1.995951052,,,0,3.804033995
241,survival,100000,1,10,100,1,2,1,4,survreg,0.334068491,,0.994787331,,,0,4.116000891
242,survival,100000,1,10,100,1,2,1,5,survreg,0.748427717,,2.013556414,,,0,2.032000065
243,survival,100000,1,10,100,10,2,1,1,survreg,0.66147361,,1.009374272,,,0,1.890877008
244,survival,100000,1,10,100,10,2,1,2,survreg,0.71196565,,0.986035647,,,0,1.798722029
245,survival,100000,1,10,100,10,2,1,3,survreg,0.816455259,,1.999938202,,,0,3.728981972
246,survival,100000,1,10,100,10,2,1,4,survreg,0.890065608,,0.983148345,,,0,6.772534132
247,survival,100000,1,10,100,10,2,1,5,survreg,0.819961922,,2.007811103,,,0,2.405070066
248,survival,100000,1,10,100,30,2,1,1,survreg,0.829344977,,1.002858395,,,0,4.646811962
249,survival,100000,1,10,100,30,2,1,2,survreg,0.865668224,,4.026232242,,,0,2.278129101
250,survival,100000,1,10,100,30,2,1,3,survreg,0.861110398,,0.994878834,,,0,3.758602142
251,survival,100000,1,10,100,30,2,1,4,survreg,0.641094186,,1.968921111,,,0,3.650438786
252,survival,100000,1,10,100,30,2,1,5,survreg,0.616414523,,1.000621019,,,0,2.299360991
253,survival,100000,1,10,1000,1,2,1,1,survreg,0.733437173,,1.009623283,,,0,2.168315172
254,survival,100000,1,10,1000,1,2,1,2,survreg,0.738196845,,1.007932869,,,0,2.213653803
255,survival,100000,1,10,1000,1,2,1,3,survreg,0.728827779,,1.026474875,,,0,2.547055006
256,survival,100000,1,10,1000,1,2,1,4,survreg,0.683320065,,1.00757566,,,0,2.036159992
257,survival,100000,1,10,1000,1,2,1,5,survreg,0.735428781,,1.00019408,,,0,2.596738815
258,survival,100000,1,10,1000,10,2,1,1,survreg,0.706070212,,0.982120057,,,0,2.467964888
