,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
57,intercepts,100000,1,0.3,3,3,1000,2000,3000,3,embed,1.815240878,,,,,16,36.67622089
58,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,ohe,2.075587049,,,,,19,67.9597075
59,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,ignore,7.905263069,,,,,27,34.56825185
60,intercepts,100000,1,0.3,3,3,1000,2000,3000,4,embed,1.911526024,,,,,15,34.93025684
61,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,ohe,1.712142638,,,,,17,63.29806352
62,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,ignore,4.928356495,,,,,31,39.15139747
63,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,0,embed,1.687147522,,,,,19,42.99315238
64,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,ohe,1.799300754,,,,,17,63.44970083
65,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,ignore,5.005798094,,,,,35,43.53488111
66,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,1,embed,1.654683597,,,,,19,43.25243163
67,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,ohe,1.903706129,,,,,21,72.73038602
68,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,ignore,4.953980127,,,,,29,37.13004327
69,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,2,embed,1.561333805,,,,,17,38.923419
70,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,ohe,1.712382427,,,,,18,65.90269542
71,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,ignore,4.623870555,,,,,52,65.04055381
72,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,3,embed,1.487627136,,,,,15,34.45119739
73,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,ohe,1.822497007,,,,,19,67.44671035
74,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,ignore,4.956934859,,,,,34,42.32625532
75,intercepts,100000,1,3,0.3,0.3,1000,2000,3000,4,embed,1.666859413,,,,,16,36.15603566
76,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,ohe,1.980868222,,,,,23,76.54631329
77,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,ignore,7.305528398,,,,,28,34.81634927
78,intercepts,100000,1,3,0.3,3,1000,2000,3000,0,embed,1.736511567,,,,,19,42.89342546
79,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,ohe,1.955194957,,,,,18,65.70360899
80,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,ignore,7.427163656,,,,,20,25.59557986
81,intercepts,100000,1,3,0.3,3,1000,2000,3000,1,embed,1.756027595,,,,,26,58.31770515
82,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,ohe,2.169318435,,,,,17,63.275599
83,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,ignore,8.039140568,,,,,32,39.90606594
84,intercepts,100000,1,3,0.3,3,1000,2000,3000,2,embed,1.850213023,,,,,18,40.64302778
85,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,ohe,1.995446547,,,,,29,90.08915114
86,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,ignore,7.619358685,,,,,29,36.295748
87,intercepts,100000,1,3,0.3,3,1000,2000,3000,3,embed,1.919558341,,,,,18,40.49474573
88,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,ohe,1.912541392,,,,,17,63.05742168
89,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,ignore,7.706879322,,,,,27,33.69657445
90,intercepts,100000,1,3,0.3,3,1000,2000,3000,4,embed,1.778541035,,,,,19,42.71319389
91,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,ohe,1.84028744,,,,,17,63.13409686
92,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,ignore,7.118238375,,,,,26,32.65620446
93,intercepts,100000,1,3,3,0.3,1000,2000,3000,0,embed,1.659790855,,,,,15,35.13897014
94,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,ohe,2.007130826,,,,,17,63.90159535
95,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,ignore,7.569110303,,,,,24,30.26214123
96,intercepts,100000,1,3,3,0.3,1000,2000,3000,1,embed,1.668604154,,,,,30,66.96851921
97,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,ohe,1.873141411,,,,,23,76.96386099
98,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,ignore,6.947021069,,,,,33,41.03586102
99,intercepts,100000,1,3,3,0.3,1000,2000,3000,2,embed,1.725375016,,,,,24,54.30135274
100,intercepts,100000,1,3,3,0.3,1000,2000,3000,3,ohe,1.94861317,,,,,25,81.50043368
