,mode,N,sig2e,sig2b0,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,n_epochs,time
72,intercepts,100000,1,0.1,10000,2,embed,3.241568358,,,29,83.22424889
73,intercepts,100000,1,0.1,10000,2,ignore,33.65090932,,,41,50.75588059
74,intercepts,100000,1,0.1,10000,2,lme4,3.5471501,2.978191385,34.9557246,0,0.855136871
75,intercepts,100000,1,0.1,10000,2,lmm,2.482050711,0.13442631,0.3873073,15,81.9636023
76,intercepts,100000,1,0.1,10000,2,menet,3.427765924,2.644596704,,300,3317.956477
77,intercepts,100000,1,0.1,10000,2,ohe,4.670159876,,,14,85.14957881
78,intercepts,100000,1,0.1,10000,3,embed,3.281574185,,,38,63.55414104
79,intercepts,100000,1,0.1,10000,3,ignore,36.27316816,,,39,48.85546041
80,intercepts,100000,1,0.1,10000,3,lme4,3.459049729,2.896185295,36.43224564,0,1.072000027
81,intercepts,100000,1,0.1,10000,3,lmm,2.410798158,0.11174062,0.29090503,18,94.22159839
82,intercepts,100000,1,0.1,10000,3,menet,4.904258012,3.534851702,,300,3316.06282
83,intercepts,100000,1,0.1,10000,3,ohe,3.237153794,,,27,126.3013024
84,intercepts,100000,1,0.1,10000,4,embed,3.249141981,,,15,26.04737282
85,intercepts,100000,1,0.1,10000,4,ignore,36.24138813,,,36,45.00887632
86,intercepts,100000,1,0.1,10000,4,lme4,3.37274855,2.852519481,33.38914195,0,0.837583065
87,intercepts,100000,1,0.1,10000,4,lmm,2.332765703,0.11123953,0.29644367,18,94.41612506
88,intercepts,100000,1,0.1,10000,4,menet,9.450506595,6.833767472,,300,3327.638694
89,intercepts,100000,1,0.1,10000,4,ohe,3.728408592,,,16,99.83265018
90,intercepts,100000,1,0.1,10000,5,lme4,3.390560633,2.904101307,30.80250497,0,1.040073872
91,intercepts,100000,1,1,100,0,embed,1.420810945,,,17,29.30250931
92,intercepts,100000,1,1,100,0,ignore,6.236551338,,,18,23.20322967
93,intercepts,100000,1,1,100,0,lmm,1.124446302,1.1085232,3.7721794,39,155.8038218
94,intercepts,100000,1,1,100,0,menet,1.210319651,1.214055017,,66,794.6206369
95,intercepts,100000,1,1,100,0,ohe,1.597103791,,,15,19.88694525
96,intercepts,100000,1,1,100,1,embed,1.214229876,,,26,43.73894048
97,intercepts,100000,1,1,100,1,ignore,3.093012258,,,19,23.94272685
98,intercepts,100000,1,1,100,1,lme4,2.799587518,2.908771759,1.932351565,0,0.702585936
99,intercepts,100000,1,1,100,1,lmm,1.15813681,1.08522,2.4476728,36,118.6738119
100,intercepts,100000,1,1,100,1,menet,1.594786405,1.496722419,,83,1034.087473
101,intercepts,100000,1,1,100,1,ohe,1.333297025,,,18,23.38154721
102,intercepts,100000,1,1,100,2,embed,1.371185658,,,17,28.89787626
103,intercepts,100000,1,1,100,2,ignore,2.566714495,,,44,53.32265711
104,intercepts,100000,1,1,100,2,lme4,2.936380317,2.938827207,1.738606433,0,0.887580156
105,intercepts,100000,1,1,100,2,lmm,1.101885159,1.0995747,3.8814385,36,118.385289
106,intercepts,100000,1,1,100,2,menet,1.706153891,1.805861846,,68,848.9325476
107,intercepts,100000,1,1,100,2,ohe,1.242901255,,,22,28.78003407
108,intercepts,100000,1,1,100,3,embed,1.379701729,,,35,57.7610178
109,intercepts,100000,1,1,100,3,ignore,5.538812961,,,51,61.85888672
110,intercepts,100000,1,1,100,3,lme4,2.886238593,2.916867158,1.435888851,0,0.703966141
111,intercepts,100000,1,1,100,3,lmm,1.084537223,1.06353,4.328309,51,162.3982844
112,intercepts,100000,1,1,100,3,menet,1.318182926,1.282913971,,104,1220.147413
113,intercepts,100000,1,1,100,3,ohe,1.405568697,,,22,28.38647962
114,intercepts,100000,1,1,100,4,embed,1.463863492,,,34,56.84744692
115,intercepts,100000,1,1,100,4,ignore,4.960172288,,,28,34.316154
116,intercepts,100000,1,1,100,4,lme4,2.87762895,2.873910883,1.673532473,0,0.906639099
117,intercepts,100000,1,1,100,4,lmm,1.111721426,1.065508,2.6106083,46,146.8815362
118,intercepts,100000,1,1,100,4,menet,1.177878713,1.145396386,,57,686.7589929
119,intercepts,100000,1,1,100,4,ohe,1.388501837,,,19,24.54016566
120,intercepts,100000,1,1,100,5,lme4,2.908851086,2.898270725,5.399390476,0,0.731756926
121,intercepts,100000,1,1,1000,0,embed,2.36426607,,,35,58.47735095
122,intercepts,100000,1,1,1000,0,ignore,33.61184067,,,32,40.6645081
123,intercepts,100000,1,1,1000,0,lmm,1.244304073,0.30326068,2.4085126,16,61.08176565
124,intercepts,100000,1,1,1000,0,menet,6.429948517,6.371236236,,157,1538.242862
125,intercepts,100000,1,1,1000,0,ohe,2.687770156,,,15,25.92944288
126,intercepts,100000,1,1,1000,1,embed,2.379866382,,,49,81.29611063
127,intercepts,100000,1,1,1000,1,ignore,32.88082796,,,35,43.15836287
128,intercepts,100000,1,1,1000,1,lme4,3.024606127,2.91531993,30.71176291,0,0.73958683
129,intercepts,100000,1,1,1000,1,lmm,1.282400083,0.28124744,2.4370804,16,60.76390624
130,intercepts,100000,1,1,1000,1,menet,3.025560902,2.930220479,,163,1576.454337
131,intercepts,100000,1,1,1000,1,ohe,2.605105075,,,16,26.81034589
132,intercepts,100000,1,1,1000,2,embed,3.420802395,,,15,26.54633617
133,intercepts,100000,1,1,1000,2,ignore,42.84455724,,,31,38.64637446
134,intercepts,100000,1,1,1000,2,lme4,2.913496019,2.883248833,33.0099576,0,0.721001863
135,intercepts,100000,1,1,1000,2,lmm,1.279740999,0.29094344,2.7325473,16,60.90954113
