,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
48,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,2,ignore,1.545750127,,,,,,,21,28.48726869
49,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,3,ignore,1.489726479,,,,,,,26,35.14513993
50,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,4,ignore,1.498887126,,,,,,,30,39.94439697
51,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,0,ignore,1.667264899,,,,,,,19,25.71825004
52,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,1,ignore,1.598220271,,,,,,,40,51.89328361
53,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,2,ignore,1.64521727,,,,,,,22,29.74816728
54,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,3,ignore,1.75563368,,,,,,,34,44.89344192
55,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,4,ignore,1.697345967,,,,,,,32,42.82469559
56,slopes,100000,1,0.3,3,3,10000,0.3,0.3,0,ignore,1.819825188,,,,,,,18,24.57168007
57,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,ignore,1.782107356,,,,,,,23,31.66533518
58,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,ignore,1.67192772,,,,,,,27,36.38752675
59,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,ignore,1.669868906,,,,,,,37,49.33166242
60,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,ignore,1.685389204,,,,,,,65,84.940871
61,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,ignore,4.145922838,,,,,,,38,50.70129776
62,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,ignore,4.315047949,,,,,,,33,43.85716796
63,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,2,ignore,4.409933696,,,,,,,21,28.38405919
64,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,3,ignore,4.289088115,,,,,,,38,51.02202034
65,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,4,ignore,4.280226009,,,,,,,18,24.91892385
66,slopes,100000,1,3,0.3,3,10000,0.3,0.3,0,ignore,4.340041913,,,,,,,25,34.32066178
67,slopes,100000,1,3,0.3,3,10000,0.3,0.3,1,ignore,4.488533545,,,,,,,28,38.29529214
68,slopes,100000,1,3,0.3,3,10000,0.3,0.3,2,ignore,4.389319828,,,,,,,22,30.44141293
69,slopes,100000,1,3,0.3,3,10000,0.3,0.3,3,ignore,4.577942628,,,,,,,21,29.17516756
70,slopes,100000,1,3,0.3,3,10000,0.3,0.3,4,ignore,4.392944241,,,,,,,27,36.19863153
71,slopes,100000,1,3,3,0.3,10000,0.3,0.3,0,ignore,4.573782367,,,,,,,23,31.14404798
72,slopes,100000,1,3,3,0.3,10000,0.3,0.3,1,ignore,4.540451162,,,,,,,18,24.52789378
73,slopes,100000,1,3,3,0.3,10000,0.3,0.3,2,ignore,4.603316327,,,,,,,18,25.01033878
74,slopes,100000,1,3,3,0.3,10000,0.3,0.3,3,ignore,4.674797865,,,,,,,34,45.19406796
75,slopes,100000,1,3,3,0.3,10000,0.3,0.3,4,ignore,4.523781728,,,,,,,32,43.20733595
76,slopes,100000,1,3,3,3,10000,0.3,0.3,0,ignore,4.879632415,,,,,,,24,32.46058106
77,slopes,100000,1,3,3,3,10000,0.3,0.3,1,ignore,4.746891206,,,,,,,26,35.08727837
78,slopes,100000,1,3,3,3,10000,0.3,0.3,2,ignore,4.64410501,,,,,,,19,25.89993739
79,slopes,100000,1,3,3,3,10000,0.3,0.3,3,ignore,4.694573933,,,,,,,34,45.48801208
80,slopes,100000,1,3,3,3,10000,0.3,0.3,4,ignore,4.641328567,,,,,,,35,46.79576612
81,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,0,lme4,3.166929406,2.950830306,0.330693794,2.25865666,1.206342344,-0.102001191,-0.463382166,0,38.294245
82,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,1,lme4,3.070517415,2.878904586,0.339895553,2.131857685,3.55677543,-0.199894088,-0.135053268,0,43.13221788
83,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,2,lme4,3.277194108,2.880278438,0.339689262,2.225445119,2.323862166,-0.222274487,0.438138067,0,45.19737601
84,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,3,lme4,3.229697478,2.913775626,0.267863546,0.460315702,7.946397335,0.999999999,-0.846089295,0,132.7311049
85,slopes,100000,1,0.3,0.3,0.3,10000,0.3,0.3,4,lme4,3.178654206,2.882924752,0.330497081,2.573801754,0.991453542,-0.27782476,NA,0,25.19712114
86,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,0,lme4,3.043732691,2.955469986,0.321061439,0.76350909,6.513038382,-0.062419829,0.336703107,0,41.74567509
87,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,1,lme4,3.098373149,2.921707183,0.351272431,2.255316476,3.506440798,-0.46515119,0.478453201,0,45.93634796
88,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,2,lme4,3.165865828,2.897825612,0.309115528,2.197141592,5.510109976,-0.012421805,-0.245197881,0,35.48575711
89,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,3,lme4,3.160495249,2.871463286,0.297058775,1.750896941,6.782021918,0.13008975,-0.251604511,0,36.24113488
90,slopes,100000,1,0.3,0.3,3,10000,0.3,0.3,4,lme4,3.304448292,2.89988748,0.33597842,2.455940606,5.167511483,-0.149285301,NA,0,23.92999387
91,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,0,lme4,3.157386441,2.963941749,0.303802508,4.252697245,3.795531256,0.497052795,-0.420955557,0,37.8774929
92,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,1,lme4,3.230946187,2.879614282,0.342122446,5.16346226,1.316909297,0.032750078,-0.546972014,0,42.57876801
93,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,2,lme4,3.048579972,2.917824983,0.33790137,4.076542497,6.416509091,0.173905489,-0.058051602,0,47.24420214
94,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,3,lme4,3.255062094,2.9064826,0.316804752,3.660254769,6.075916311,0.217992873,0.085239124,0,35.01937103
95,slopes,100000,1,0.3,3,0.3,10000,0.3,0.3,4,lme4,3.213859967,2.915115901,0.348522472,3.490137297,5.321091014,0.121799558,0.258628732,0,33.16861796
96,slopes,100000,1,0.3,3,3,10000,0.3,0.3,0,lme4,3.220115977,2.934783386,0.290877455,4.141542648,4.498701766,0.196969496,0.543832167,0,26.50375915
97,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,lme4,3.157279559,2.941417369,0.292381642,5.155531598,1.310494285,0.218349254,0.140573744,0,63.12868905
98,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,lme4,3.116282391,2.929403712,0.301585224,3.990539167,7.185414251,0.267539745,0.31836078,0,42.41722417
99,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,lme4,3.122849599,2.911058423,0.337800068,5.045096008,4.53423948,0.102325076,0.176000566,0,36.05136299
100,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,lme4,3.132699382,2.879942119,0.320846263,3.881355953,6.738369757,0.415915785,0.197408123,0,45.9698751
101,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,lme4,5.15102111,2.898859949,3.04835859,1.873457988,3.537242469,0.125467626,-0.556114688,0,44.90612102
102,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,lme4,4.765815304,2.882228195,2.976009288,0.445077954,6.807413151,0.568844556,-0.414943537,0,36.97094893
103,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,2,lme4,4.491252401,2.905161047,2.982692968,2.566572328,1.540450397,-0.044289834,0.69197665,0,34.00799894
104,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,3,lme4,3.714275985,2.867143523,2.992308435,1.447005888,6.460294939,0.153685109,-0.02726132,0,34.29972506
105,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,4,lme4,4.646314377,2.908047154,3.118802677,0.875386279,5.055386763,-0.05126498,0.392410368,0,24.47036719
106,slopes,100000,1,3,0.3,3,10000,0.3,0.3,0,lme4,5.770272614,2.889331759,2.876787133,1.95292339,6.259115735,0.266018772,NA,0,28.41824102
107,slopes,100000,1,3,0.3,3,10000,0.3,0.3,1,lme4,5.917623758,2.922324696,2.993876331,3.147471282,5.460815029,0.066542424,NA,0,14.51803589
108,slopes,100000,1,3,0.3,3,10000,0.3,0.3,2,lme4,5.910382213,2.880797033,3.086798425,2.677055668,5.136591351,0.09535593,NA,0,16.85599709
109,slopes,100000,1,3,0.3,3,10000,0.3,0.3,3,lme4,3.34106121,2.874376171,3.05514339,2.317401001,2.208551793,0.002330276,0.967520538,0,43.235636
110,slopes,100000,1,3,0.3,3,10000,0.3,0.3,4,lme4,4.059201838,2.929854471,2.961553124,2.013889594,7.81428053,0.313949298,0.047158736,0,26.2003479
111,slopes,100000,1,3,3,0.3,10000,0.3,0.3,0,lme4,4.621392421,2.925833373,2.994540523,4.627723614,5.076822661,0.23571566,0.126836593,0,28.35692096
