,mode,N,sig2e,sig2b0,sig2b1,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,n_epochs,time
53,spatial,10000,1,1,1,1000,2,lmm_known,1.289716457,1.216020823,0.911664307,1.01687336,79,54.35710239
54,spatial,10000,1,1,1,1000,3,lmm_known,1.257955567,1.254200697,1.08203721,0.807978034,56,44.06084085
55,spatial,10000,1,1,1,1000,4,lmm_known,1.176458818,1.194331169,1.065840483,0.741860271,71,51.2044692
56,spatial,10000,1,1,10,1000,0,lmm_known,1.273189577,1.212330461,1.158403635,4.300538063,82,56.15334463
57,spatial,10000,1,1,10,1000,1,lmm_known,1.168117321,1.181007147,0.693403244,3.643396378,75,53.18319082
58,spatial,10000,1,1,10,1000,2,lmm_known,1.133777,1.179523349,0.986612201,5.999342442,110,69.63234425
59,spatial,10000,1,1,10,1000,3,lmm_known,1.258831923,1.18947494,0.813072741,4.011814594,76,54.03045082
60,spatial,10000,1,1,10,1000,4,lmm_known,1.263820159,1.153985858,0.695807338,3.829395771,72,51.73129034
61,spatial,10000,1,0.1,0.1,10000,0,lmm_known,1.225573748,1.212939024,0.074700385,0.259799659,61,105.570704
62,spatial,10000,1,0.1,0.1,10000,1,lmm_known,1.222457717,1.197747231,0.086753406,0.358665287,78,112.0319736
63,spatial,10000,1,0.1,0.1,10000,2,lmm_known,1.324159028,1.24068296,0.116149597,0.175550908,68,108.9110622
64,spatial_embedded,10000,1,0.1,0.1,100,0,ohe,1.473996588,,,,64,19.87291622
65,spatial_embedded,10000,1,0.1,0.1,100,0,lmm,1.294417924,1.295444608,0.700960636,,70,47.02295423
66,spatial_embedded,10000,1,0.1,0.1,100,0,ignore,1.42099784,,,,74,14.87347341
67,spatial_embedded,10000,1,0.1,0.1,100,0,embed,1.473137571,,,,82,24.07668376
68,spatial_embedded,10000,1,0.1,0.1,100,1,ohe,1.373474058,,,,54,11.85887408
69,spatial_embedded,10000,1,0.1,0.1,100,1,lmm,1.277086265,1.371686101,0.74620688,,51,33.13983178
70,spatial_embedded,10000,1,0.1,0.1,100,1,ignore,1.35378421,,,,84,17.782377
71,spatial_embedded,10000,1,0.1,0.1,100,1,embed,1.361976122,,,,85,25.05472517
72,spatial_embedded,10000,1,0.1,0.1,100,2,ohe,1.41608199,,,,72,15.58165121
73,spatial_embedded,10000,1,0.1,0.1,100,2,lmm,1.369779513,1.372662067,0.673580348,,61,38.91762781
74,spatial_embedded,10000,1,0.1,0.1,100,2,ignore,1.345566887,,,,74,15.01564455
75,spatial_embedded,10000,1,0.1,0.1,100,2,embed,1.429292308,,,,66,19.67231703
76,spatial_embedded,10000,1,0.1,0.1,100,3,ohe,1.464870826,,,,59,13.44962096
77,spatial_embedded,10000,1,0.1,0.1,100,3,lmm,1.326477029,1.277049303,0.613174021,,85,53.63054252
78,spatial_embedded,10000,1,0.1,0.1,100,3,ignore,1.383676986,,,,70,14.48236203
79,spatial_embedded,10000,1,0.1,0.1,100,3,embed,1.404446399,,,,60,18.07548738
80,spatial_embedded,10000,1,0.1,0.1,100,4,ohe,1.42526787,,,,63,14.90015411
81,spatial_embedded,10000,1,0.1,0.1,100,4,lmm,1.277122828,1.234588027,0.640642226,,71,44.67367268
82,spatial_embedded,10000,1,0.1,0.1,100,4,ignore,1.371462845,,,,92,18.74480319
83,spatial_embedded,10000,1,0.1,0.1,100,4,embed,1.352743788,,,,53,16.10994124
84,spatial_embedded,10000,1,0.1,1,100,0,ohe,1.441150813,,,,45,10.68093443
85,spatial_embedded,10000,1,0.1,1,100,0,lmm,1.199587946,1.207904816,0.726013005,,84,51.96213603
86,spatial_embedded,10000,1,0.1,1,100,0,ignore,1.279649496,,,,69,14.05043292
87,spatial_embedded,10000,1,0.1,1,100,0,embed,1.385174296,,,,72,21.9710207
88,spatial_embedded,10000,1,0.1,1,100,1,ohe,1.416832525,,,,58,13.0404129
89,spatial_embedded,10000,1,0.1,1,100,1,lmm,1.23278041,1.264452338,0.556037784,,68,44.2096312
90,spatial_embedded,10000,1,0.1,1,100,1,ignore,1.34400694,,,,83,16.93406987
91,spatial_embedded,10000,1,0.1,1,100,1,embed,1.383639846,,,,61,19.12083554
92,spatial_embedded,10000,1,0.1,1,100,2,ohe,1.550905667,,,,76,17.49722528
93,spatial_embedded,10000,1,0.1,1,100,2,lmm,1.376728177,1.2650038,0.683380425,,87,56.00247121
94,spatial_embedded,10000,1,0.1,1,100,2,ignore,1.480333944,,,,84,18.68344569
95,spatial_embedded,10000,1,0.1,1,100,2,embed,1.449261295,,,,79,25.60060358
96,spatial_embedded,10000,1,0.1,1,100,3,ohe,1.368797583,,,,52,12.24483871
97,spatial_embedded,10000,1,0.1,1,100,3,lmm,1.184199957,1.181978345,0.676257551,,89,57.11729693
98,spatial_embedded,10000,1,0.1,1,100,3,ignore,1.338904882,,,,84,18.21978521
99,spatial_embedded,10000,1,0.1,1,100,3,embed,1.243212061,,,,64,21.56364679
100,spatial_embedded,10000,1,0.1,1,100,4,ohe,1.398133916,,,,62,14.37609053
101,spatial_embedded,10000,1,0.1,1,100,4,lmm,1.249900571,1.326207638,0.75272274,,57,37.65215659
102,spatial_embedded,10000,1,0.1,1,100,4,ignore,1.40647985,,,,70,15.38139081
103,spatial_embedded,10000,1,0.1,1,100,4,embed,1.369916471,,,,67,22.20837116
104,spatial_embedded,10000,1,0.1,10,100,0,ohe,1.336265747,,,,60,13.8563652
105,spatial_embedded,10000,1,0.1,10,100,0,lmm,1.15205987,1.220480442,0.640812993,,63,41.55781984
106,spatial_embedded,10000,1,0.1,10,100,0,ignore,1.265880048,,,,54,11.82098174
107,spatial_embedded,10000,1,0.1,10,100,0,embed,1.321203341,,,,75,24.43720651
108,spatial_embedded,10000,1,0.1,10,100,1,ohe,1.267156312,,,,68,15.85643888
109,spatial_embedded,10000,1,0.1,10,100,1,lmm,1.065847522,1.193336844,0.694265485,,52,35.14557242
110,spatial_embedded,10000,1,0.1,10,100,1,ignore,1.162836421,,,,92,19.94336653
111,spatial_embedded,10000,1,0.1,10,100,1,embed,1.216766677,,,,67,22.02952886
112,spatial_embedded,10000,1,0.1,10,100,2,ohe,1.377511626,,,,60,14.26266789
113,spatial_embedded,10000,1,0.1,10,100,2,lmm,1.134891848,1.128688693,0.641241252,,68,44.28331494
114,spatial_embedded,10000,1,0.1,10,100,2,ignore,1.268321449,,,,64,13.93555212
115,spatial_embedded,10000,1,0.1,10,100,2,embed,1.35950003,,,,79,25.16216588
116,spatial_embedded,10000,1,0.1,10,100,3,ohe,1.467798484,,,,45,11.21518397
117,spatial_embedded,10000,1,0.1,10,100,3,lmm,1.22153418,1.21139133,0.582492292,,86,54.7861011
118,spatial_embedded,10000,1,0.1,10,100,3,ignore,1.379406628,,,,77,17.02491713
119,spatial_embedded,10000,1,0.1,10,100,3,embed,1.341095376,,,,68,21.97258544
120,spatial_embedded,10000,1,0.1,10,100,4,ohe,1.371011117,,,,48,11.81946301
121,spatial_embedded,10000,1,0.1,10,100,4,lmm,1.11755487,1.245205641,0.649175107,,76,48.84671235
122,spatial_embedded,10000,1,0.1,10,100,4,ignore,1.242032928,,,,77,17.17205572
123,spatial_embedded,10000,1,0.1,10,100,4,embed,1.349553462,,,,88,28.77613759
124,spatial_embedded,10000,1,1,0.1,100,0,ohe,1.536838147,,,,78,16.78892159
125,spatial_embedded,10000,1,1,0.1,100,0,lmm,1.206474881,1.160784364,0.818459034,,76,48.41159964
126,spatial_embedded,10000,1,1,0.1,100,0,ignore,1.761117466,,,,92,19.6814754
127,spatial_embedded,10000,1,1,0.1,100,0,embed,1.401546951,,,,87,28.22369432
128,spatial_embedded,10000,1,1,0.1,100,1,ohe,1.612334836,,,,44,10.95248842
129,spatial_embedded,10000,1,1,0.1,100,1,lmm,1.3948367,1.419214964,0.893835247,,46,31.32220864
130,spatial_embedded,10000,1,1,0.1,100,1,ignore,2.106721793,,,,96,20.92434835
