,mode,N,sig2e,sig2b0,q0,experiment,exp_type,mse,sig2e_est,sig2b_est0,n_epochs,time
72,intercepts,100000,1,0.1,10000,1,ohe,1.588982774,,,12,78.23847175
73,intercepts,100000,1,0.1,10000,2,embed,1.608262258,,,14,24.15408087
74,intercepts,100000,1,0.1,10000,2,ignore,1.250939608,,,27,33.33890343
75,intercepts,100000,1,0.1,10000,2,lme4,2.973782356,2.912070273,0.108562541,,0.835553169
76,intercepts,100000,1,0.1,10000,2,lmm,1.171008313,1.148503,0.1123782,26,88.57756257
77,intercepts,100000,1,0.1,10000,2,menet,1.309017401,1.061808251,,300,3125.046499
78,intercepts,100000,1,0.1,10000,2,ohe,1.629234778,,,12,84.1326201
79,intercepts,100000,1,0.1,10000,3,embed,1.55432312,,,14,24.24689865
80,intercepts,100000,1,0.1,10000,3,ignore,1.214316375,,,25,30.72044635
81,intercepts,100000,1,0.1,10000,3,lme4,2.909489902,2.874621085,0.114332915,,0.993036032
82,intercepts,100000,1,0.1,10000,3,lmm,1.205171263,1.1588843,0.099480435,21,91.41216731
83,intercepts,100000,1,0.1,10000,3,menet,1.397901088,1.139196536,,300,3087.33669
84,intercepts,100000,1,0.1,10000,3,ohe,1.541125627,,,12,83.81414604
85,intercepts,100000,1,0.1,10000,4,embed,1.592080596,,,13,22.50794578
86,intercepts,100000,1,0.1,10000,4,ignore,1.22451436,,,23,28.59648705
87,intercepts,100000,1,0.1,10000,4,lme4,2.944321709,2.889924575,0.09636323,,0.824572086
88,intercepts,100000,1,0.1,10000,4,lmm,1.138236373,1.1180573,0.08470529,82,261.3272488
89,intercepts,100000,1,0.1,10000,4,menet,2.698144287,1.265712917,,173,1764.840173
90,intercepts,100000,1,0.1,10000,4,ohe,1.554503098,,,12,81.14016747
91,intercepts,100000,1,1,100,0,embed,1.200445136,,,17,29.49790478
92,intercepts,100000,1,1,100,0,ignore,2.035531068,,,22,27.55279183
93,intercepts,100000,1,1,100,0,lme4,2.903698173,2.924997198,1.010650306,,0.919994831
94,intercepts,100000,1,1,100,0,lmm,1.098478738,1.1268462,1.2289437,47,148.1494792
95,intercepts,100000,1,1,100,0,menet,1.14828156,1.12908819,,76,1198.255023
96,intercepts,100000,1,1,100,0,ohe,1.218035105,,,31,38.9015696
97,intercepts,100000,1,1,100,1,embed,1.175174728,,,23,38.35450029
98,intercepts,100000,1,1,100,1,ignore,2.026234806,,,23,28.29538751
99,intercepts,100000,1,1,100,1,lme4,3.001299019,2.89552225,1.021505577,,0.706393957
100,intercepts,100000,1,1,100,1,lmm,1.099346127,1.1374573,1.113879,24,78.35494018
101,intercepts,100000,1,1,100,1,menet,1.172548188,1.147208877,,120,1817.957389
102,intercepts,100000,1,1,100,1,ohe,1.216000436,,,44,54.48652697
103,intercepts,100000,1,1,100,2,embed,1.212113414,,,22,42.22552085
104,intercepts,100000,1,1,100,2,ignore,2.472538972,,,24,29.49825287
105,intercepts,100000,1,1,100,2,lme4,2.874142384,2.933012578,0.867558278,,0.878036976
106,intercepts,100000,1,1,100,2,lmm,1.085388536,1.1157612,1.1813651,73,226.7739568
107,intercepts,100000,1,1,100,2,menet,1.116649226,1.087563472,,75,1151.286812
108,intercepts,100000,1,1,100,2,ohe,1.331737695,,,38,47.43584037
109,intercepts,100000,1,1,100,3,embed,1.132085106,,,33,55.06618643
110,intercepts,100000,1,1,100,3,ignore,2.095852747,,,24,29.9267683
111,intercepts,100000,1,1,100,3,lme4,2.906518461,2.942222484,1.067092071,,0.671247005
112,intercepts,100000,1,1,100,3,lmm,1.096068303,1.1137633,1.1487619,48,149.8956869
113,intercepts,100000,1,1,100,3,menet,1.194265185,1.160353211,,80,1226.906415
114,intercepts,100000,1,1,100,3,ohe,1.183475574,,,22,28.37784195
115,intercepts,100000,1,1,100,4,embed,1.175001301,,,33,54.50541329
116,intercepts,100000,1,1,100,4,ignore,1.841406641,,,19,23.5471034
117,intercepts,100000,1,1,100,4,lme4,2.966528764,2.889762028,1.160997324,,0.870170832
118,intercepts,100000,1,1,100,4,lmm,1.098961584,1.1294438,0.7377438,42,131.9300218
119,intercepts,100000,1,1,100,4,menet,1.262102639,1.235987223,,60,956.1315904
120,intercepts,100000,1,1,100,4,ohe,1.222056445,,,18,23.21372986
121,intercepts,100000,1,1,1000,0,embed,1.192638249,,,18,30.43078041
122,intercepts,100000,1,1,1000,0,ignore,2.077858674,,,59,71.44525528
123,intercepts,100000,1,1,1000,0,lme4,2.91527905,2.908274045,0.942824099,,0.722153902
124,intercepts,100000,1,1,1000,0,lmm,1.122318943,1.1245223,1.0289624,47,148.8490901
125,intercepts,100000,1,1,1000,0,menet,2.12441079,2.074374499,,430,4702.866859
126,intercepts,100000,1,1,1000,0,ohe,1.29699253,,,16,26.48011374
127,intercepts,100000,1,1,1000,1,embed,1.301576083,,,20,33.53153753
128,intercepts,100000,1,1,1000,1,ignore,2.079516724,,,40,48.61699677
129,intercepts,100000,1,1,1000,1,lme4,2.936536829,2.914319192,1.128657757,,0.889968157
130,intercepts,100000,1,1,1000,1,lmm,1.079659201,1.1338949,1.0053068,45,146.833427
131,intercepts,100000,1,1,1000,1,menet,1.664260229,1.608764396,,240,2643.943922
132,intercepts,100000,1,1,1000,1,ohe,1.347780701,,,14,23.76175475
133,intercepts,100000,1,1,1000,2,embed,1.306692192,,,30,50.11525416
134,intercepts,100000,1,1,1000,2,ignore,2.169217405,,,25,31.41095781
135,intercepts,100000,1,1,1000,2,lme4,2.967333739,2.90486191,0.984230507,,0.903999805
136,intercepts,100000,1,1,1000,2,lmm,1.114221353,1.1159348,1.01902,39,123.7578382
137,intercepts,100000,1,1,1000,2,menet,1.34723965,1.285204119,,500,5477.769424
138,intercepts,100000,1,1,1000,2,ohe,1.42421176,,,16,26.30581546
139,intercepts,100000,1,1,1000,3,embed,1.257113627,,,20,33.92143869
140,intercepts,100000,1,1,1000,3,ignore,2.187854406,,,28,34.55690527
141,intercepts,100000,1,1,1000,3,lme4,2.87704238,2.920994438,0.935406433,,0.711997986
142,intercepts,100000,1,1,1000,3,lmm,1.113790091,1.1189325,0.9660969,50,157.1458197
143,intercepts,100000,1,1,1000,3,menet,1.214827984,1.164686729,,500,5454.138994
144,intercepts,100000,1,1,1000,3,ohe,1.36612836,,,18,29.29197979
145,intercepts,100000,1,1,1000,4,embed,1.334068878,,,17,28.75988674
146,intercepts,100000,1,1,1000,4,ignore,2.217842584,,,19,42.06663704
147,intercepts,100000,1,1,1000,4,lme4,2.986285266,2.882598633,0.911744415,,0.725008011
148,intercepts,100000,1,1,1000,4,lmm,1.086808364,1.1076118,1.1290098,56,176.6781359
149,intercepts,100000,1,1,1000,4,menet,1.277906475,1.227435888,,500,5501.659842
150,intercepts,100000,1,1,1000,4,ohe,1.370072856,,,16,26.76349282
151,intercepts,100000,1,1,10000,0,embed,1.645892833,,,15,25.68163323
152,intercepts,100000,1,1,10000,0,ignore,2.142497642,,,26,32.28650641
153,intercepts,100000,1,1,10000,0,lme4,3.278617547,2.916066475,0.987168709,,1.074981213
154,intercepts,100000,1,1,10000,0,lmm,1.242979429,1.1180373,1.0000046,44,144.0269604
155,intercepts,100000,1,1,10000,0,menet,1.54745444,1.18608837,,300,3064.391526
156,intercepts,100000,1,1,10000,0,ohe,1.66121467,,,13,97.86720443
157,intercepts,100000,1,1,10000,1,embed,1.670741128,,,15,25.77231073
158,intercepts,100000,1,1,10000,1,ignore,2.227061682,,,24,29.78077698
159,intercepts,100000,1,1,10000,1,lme4,3.196458556,2.916454949,0.982226422,,1.086996794
160,intercepts,100000,1,1,10000,1,lmm,1.243380294,1.1523396,1.0032157,29,97.96296549
161,intercepts,100000,1,1,10000,1,menet,1.592876451,1.258190609,,300,3068.847947
162,intercepts,100000,1,1,10000,1,ohe,1.737082219,,,12,93.91348648
163,intercepts,100000,1,1,10000,2,embed,1.687743789,,,15,42.31548882
164,intercepts,100000,1,1,10000,2,ignore,2.187503602,,,20,25.0433681
165,intercepts,100000,1,1,10000,2,lme4,3.17703254,2.90815008,0.999860154,,0.912964106
166,intercepts,100000,1,1,10000,2,lmm,1.260223314,1.1442329,1.039132,42,137.0952165
167,intercepts,100000,1,1,10000,2,menet,1.479232639,1.234186259,,300,3092.084217
168,intercepts,100000,1,1,10000,2,ohe,1.735322992,,,13,95.98103929
169,intercepts,100000,1,1,10000,3,embed,1.672410792,,,15,25.80272651
170,intercepts,100000,1,1,10000,3,ignore,2.120231591,,,34,41.64796972
171,intercepts,100000,1,1,10000,3,lme4,3.254205976,2.898607353,0.967661118,,1.105965137
172,intercepts,100000,1,1,10000,3,lmm,1.245428363,1.1258646,0.98056644,33,111.1940439
173,intercepts,100000,1,1,10000,3,menet,1.824945182,1.276476775,,300,3061.07285
174,intercepts,100000,1,1,10000,3,ohe,1.690662589,,,14,99.11510229
175,intercepts,100000,1,1,10000,4,embed,1.649738343,,,15,25.78544283
176,intercepts,100000,1,1,10000,4,ignore,2.081471722,,,28,34.27770782
177,intercepts,100000,1,1,10000,4,lme4,3.196093855,2.891931598,0.963401713,,0.920042038
178,intercepts,100000,1,1,10000,4,lmm,1.197686662,1.1330566,0.969215,57,183.7283642
179,intercepts,100000,1,1,10000,4,menet,1.555204635,1.222288285,,300,3050.668239
180,intercepts,100000,1,1,10000,4,ohe,1.680296058,,,14,134.1092942
181,intercepts,100000,1,10,100,0,embed,1.377554807,,,28,46.86158395
182,intercepts,100000,1,10,100,0,ignore,10.75330472,,,29,35.7847023
183,intercepts,100000,1,10,100,0,lme4,2.973227717,2.918909313,11.50435324,,0.874003172
184,intercepts,100000,1,10,100,0,lmm,1.076571162,1.1176506,8.924363,42,132.4831092
185,intercepts,100000,1,10,100,0,menet,2.276417875,2.189989766,,47,709.8106239
186,intercepts,100000,1,10,100,0,ohe,1.693848525,,,19,24.60282111
187,intercepts,100000,1,10,100,1,embed,1.521371959,,,17,28.90493441
188,intercepts,100000,1,10,100,1,ignore,11.93463394,,,32,39.1532743
189,intercepts,100000,1,10,100,1,lme4,2.897882088,2.942021822,9.984713189,,0.876600027
190,intercepts,100000,1,10,100,1,lmm,1.088875442,1.1196275,9.064237,42,132.7783847
191,intercepts,100000,1,10,100,1,menet,1.344026617,1.330109599,,59,984.7361896
192,intercepts,100000,1,10,100,1,ohe,1.711737778,,,16,21.02784443
193,intercepts,100000,1,10,100,2,embed,1.665574064,,,26,43.07597256
194,intercepts,100000,1,10,100,2,ignore,9.627983989,,,25,30.71763921
195,intercepts,100000,1,10,100,2,lme4,2.912014977,2.898757574,10.92229195,,0.670044899
196,intercepts,100000,1,10,100,2,lmm,1.106280884,1.1214949,9.92563,52,162.4825978
197,intercepts,100000,1,10,100,2,menet,1.468565965,1.435115952,,80,1255.295917
198,intercepts,100000,1,10,100,2,ohe,1.344640682,,,19,24.65523219
199,intercepts,100000,1,10,100,3,embed,1.513606163,,,43,70.86529088
200,intercepts,100000,1,10,100,3,ignore,9.902270849,,,36,43.7593596
201,intercepts,100000,1,10,100,3,lme4,2.960614395,2.88492791,8.226257633,,0.843575954
