epoch,experiment,loss,sig2b_est0,sig2b_est1,sig2b_est2,sig2e_est,val_loss
0,0,211.7859344482422,1.047166,1.2491751,1.3605729,1.3857428,173.12057495117188
1,0,178.9436492919922,0.94918895,1.3707138,1.6527356,1.4884198,165.0636444091797
2,0,172.99588012695312,0.75339264,1.4628955,1.9220343,1.4952883,162.2940216064453
3,0,168.83790588378906,0.4421017,1.5386069,2.188271,1.4224423,159.8807373046875
4,0,166.22508239746094,0.13855727,1.6129963,2.4572296,1.3486016,157.60768127441406
5,0,164.35324096679688,0.10666901,1.6650101,2.7258627,1.2908762,156.94949340820312
6,0,163.07342529296875,0.1055971,1.6823633,2.9923515,1.2576157,156.0533447265625
7,0,161.95950317382812,0.09623799,1.6728122,3.260861,1.2337672,155.6551513671875
8,0,161.56536865234375,0.10343652,1.6416985,3.528321,1.2235726,156.28744506835938
9,0,160.3911590576172,0.095893666,1.5886552,3.7981842,1.1968204,155.0983123779297
10,0,160.39369201660156,0.091059245,1.5192262,4.0694003,1.2006077,155.14938354492188
11,0,159.7454376220703,0.08991473,1.4476128,4.340553,1.1852754,154.5963592529297
12,0,159.21231079101562,0.087742165,1.3639011,4.608796,1.1765571,154.7925262451172
13,0,158.86712646484375,0.08991721,1.2993358,4.8765783,1.1655302,154.31277465820312
14,0,158.70652770996094,0.092385285,1.2387003,5.139445,1.16791,154.4296875
15,0,158.3532257080078,0.093990676,1.1849445,5.394008,1.1557728,154.2689208984375
16,0,158.05963134765625,0.09045104,1.1377095,5.646919,1.1540244,153.88858032226562
17,0,157.79881286621094,0.08627584,1.0985038,5.893061,1.1393024,153.81686401367188
18,0,157.58953857421875,0.089291394,1.0733529,6.1310606,1.1408366,153.5514678955078
19,0,157.5189666748047,0.08976913,1.0468923,6.361168,1.139458,153.76654052734375
20,0,157.538818359375,0.08492002,1.0288148,6.582151,1.1432757,154.18112182617188
21,0,157.23947143554688,0.09030353,1.0218102,6.7933674,1.1333575,153.46722412109375
22,0,157.41134643554688,0.08784051,1.0116572,6.996033,1.1348772,153.51181030273438
23,0,156.94664001464844,0.086904526,1.0032287,7.1913185,1.1292707,153.64303588867188
24,0,156.91741943359375,0.082998246,0.9932749,7.377787,1.1306944,153.59320068359375
25,0,156.813232421875,0.090250954,0.9837737,7.5552206,1.1248397,153.09205627441406
26,0,156.99143981933594,0.08351984,0.97800004,7.7229867,1.1260661,153.46328735351562
27,0,156.75193786621094,0.08575433,0.9797392,7.8833055,1.125548,153.10191345214844
28,0,156.6253204345703,0.0910117,0.97486705,8.036893,1.1236881,153.18995666503906
29,0,156.5282440185547,0.08798052,0.9634514,8.18215,1.1218015,153.5708770751953
30,0,156.58938598632812,0.08831239,0.9628842,8.317873,1.1195365,153.3253173828125
31,0,156.7215118408203,0.09108856,0.962038,8.446758,1.1237034,153.25588989257812
32,0,156.36705017089844,0.089158855,0.9562371,8.568311,1.1161731,152.8955841064453
33,0,156.43431091308594,0.08894023,0.95699024,8.682926,1.1183945,153.76983642578125
34,0,156.2454376220703,0.08859579,0.9569644,8.792144,1.1140846,152.84426879882812
35,0,156.00660705566406,0.081536405,0.95405775,8.894923,1.1117035,153.30484008789062
36,0,156.2362060546875,0.088760465,0.95233136,8.99212,1.1098348,153.25746154785156
37,0,155.98973083496094,0.08587802,0.95111275,9.082251,1.1072141,153.20382690429688
38,0,156.20889282226562,0.08932324,0.95141584,9.168385,1.1129953,153.45211791992188
39,0,156.36668395996094,0.085715175,0.95073706,9.248799,1.1175376,153.4397430419922
40,0,156.1636199951172,0.089239925,0.94743323,9.324396,1.1137868,153.43350219726562
41,0,156.2365264892578,0.08892921,0.94666505,9.395823,1.117756,153.36294555664062
42,0,156.09971618652344,0.087586455,0.9468511,9.462669,1.110558,153.01036071777344
43,0,156.02830505371094,0.08980582,0.9470638,9.523682,1.1123319,153.2648162841797
44,0,155.9588165283203,0.09236404,0.9452337,9.580414,1.1058995,153.14297485351562
0,1,209.10687255859375,1.0290428,1.2190273,1.3686116,1.3553928,174.85557556152344
1,1,178.67794799804688,0.9007942,1.3705642,1.6654271,1.4741975,169.6415252685547
2,1,172.95152282714844,0.65778047,1.4964544,1.9382951,1.494832,166.19500732421875
3,1,169.42584228515625,0.31018248,1.6008667,2.2053852,1.4440235,164.93760681152344
4,1,166.67576599121094,0.1370323,1.6984249,2.4756522,1.3710473,162.6000213623047
5,1,165.0540313720703,0.13106535,1.7603768,2.7417839,1.31784,162.50379943847656
6,1,163.6837158203125,0.12391948,1.788672,3.007023,1.2847108,160.74978637695312
