,mode,N,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
72,spatial,100000,1,0.1,1,1000,3,embed,1.257301816,,,,20,34.11990476
73,spatial,100000,1,0.1,1,1000,4,ohe,1.306990277,,,,14,25.76727414
74,spatial,100000,1,0.1,1,1000,4,ignore,1.359397319,,,,19,24.82365108
75,spatial,100000,1,0.1,1,1000,4,embed,1.294035734,,,,20,34.60912704
76,spatial,100000,1,0.1,1,10000,0,ohe,1.562017577,,,,13,85.70806766
77,spatial,100000,1,0.1,1,10000,0,ignore,1.291889267,,,,25,31.84998536
78,spatial,100000,1,0.1,1,10000,0,embed,1.616017099,,,,16,28.41561532
79,spatial,100000,1,0.1,1,10000,1,ohe,1.529924764,,,,13,84.5858438
80,spatial,100000,1,0.1,1,10000,1,ignore,1.228855348,,,,42,52.75549889
81,spatial,100000,1,0.1,1,10000,1,embed,1.570281723,,,,15,25.88688993
82,spatial,100000,1,0.1,1,10000,2,ohe,1.583686252,,,,12,82.84338808
83,spatial,100000,1,0.1,1,10000,2,ignore,1.289437341,,,,31,38.8540616
84,spatial,100000,1,0.1,1,10000,2,embed,1.631971509,,,,16,27.38942432
85,spatial,100000,1,0.1,1,10000,3,ohe,1.509536237,,,,13,85.63538718
86,spatial,100000,1,0.1,1,10000,3,ignore,1.239142075,,,,25,31.52780604
87,spatial,100000,1,0.1,1,10000,3,embed,1.589693024,,,,15,25.88254547
88,spatial,100000,1,0.1,1,10000,4,ohe,1.549297842,,,,13,84.88980341
89,spatial,100000,1,0.1,1,10000,4,ignore,1.262133809,,,,35,44.31863046
90,spatial,100000,1,0.1,1,10000,4,embed,1.587602439,,,,15,26.03402066
91,spatial,100000,1,0.1,10,100,0,ohe,1.271865801,,,,33,43.28987193
92,spatial,100000,1,0.1,10,100,0,ignore,1.146784459,,,,42,52.50428128
93,spatial,100000,1,0.1,10,100,0,embed,1.271521414,,,,18,31.05802417
94,spatial,100000,1,0.1,10,100,1,ohe,1.211373807,,,,36,47.16371608
95,spatial,100000,1,0.1,10,100,1,ignore,1.200753506,,,,32,40.3732357
96,spatial,100000,1,0.1,10,100,1,embed,1.206342438,,,,25,42.30046797
97,spatial,100000,1,0.1,10,100,2,ohe,1.203154619,,,,32,41.47446227
98,spatial,100000,1,0.1,10,100,2,ignore,1.226437913,,,,41,51.76238894
99,spatial,100000,1,0.1,10,100,2,embed,1.196622797,,,,32,54.64956021
100,spatial,100000,1,0.1,10,100,3,ohe,1.235188609,,,,27,35.61790442
101,spatial,100000,1,0.1,10,100,3,ignore,1.216109548,,,,40,50.81355691
102,spatial,100000,1,0.1,10,100,3,embed,1.214011617,,,,34,57.23947263
103,spatial,100000,1,0.1,10,100,4,ohe,1.224326424,,,,36,46.62514734
104,spatial,100000,1,0.1,10,100,4,ignore,1.228475354,,,,31,39.2668798
105,spatial,100000,1,0.1,10,100,4,embed,1.190301117,,,,22,37.47336698
106,spatial,100000,1,0.1,10,1000,0,ohe,1.287883789,,,,23,39.21004748
107,spatial,100000,1,0.1,10,1000,0,ignore,1.233982834,,,,29,37.40010357
108,spatial,100000,1,0.1,10,1000,0,embed,1.258840618,,,,16,28.4125216
109,spatial,100000,1,0.1,10,1000,1,ohe,1.293244688,,,,17,30.08193111
110,spatial,100000,1,0.1,10,1000,1,ignore,1.223608501,,,,28,35.76386476
111,spatial,100000,1,0.1,10,1000,1,embed,1.345249384,,,,24,41.0291512
112,spatial,100000,1,0.1,10,1000,2,ohe,1.246199588,,,,15,27.37583828
113,spatial,100000,1,0.1,10,1000,2,ignore,1.188623827,,,,28,35.84331894
114,spatial,100000,1,0.1,10,1000,2,embed,1.225719368,,,,21,36.02514434
115,spatial,100000,1,0.1,10,1000,3,ohe,1.302786592,,,,15,27.60547352
116,spatial,100000,1,0.1,10,1000,3,ignore,1.267049416,,,,25,32.05505228
117,spatial,100000,1,0.1,10,1000,3,embed,1.244186866,,,,25,43.01402783
118,spatial,100000,1,0.1,10,1000,4,ohe,1.293443403,,,,14,25.67295289
119,spatial,100000,1,0.1,10,1000,4,ignore,1.258031695,,,,17,22.26568937
120,spatial,100000,1,0.1,10,1000,4,embed,1.304261958,,,,25,42.66895223
121,spatial,100000,1,0.1,10,10000,0,ohe,1.556144664,,,,13,84.76268816
122,spatial,100000,1,0.1,10,10000,0,ignore,1.20879507,,,,45,56.18132281
123,spatial,100000,1,0.1,10,10000,0,embed,1.623024985,,,,17,29.26343131
124,spatial,100000,1,0.1,10,10000,1,ohe,1.577772245,,,,13,84.15870714
125,spatial,100000,1,0.1,10,10000,1,ignore,1.287423648,,,,20,25.9683063
126,spatial,100000,1,0.1,10,10000,1,embed,1.64140682,,,,18,30.94390583
127,spatial,100000,1,0.1,10,10000,2,ohe,1.513800377,,,,13,83.56864309
128,spatial,100000,1,0.1,10,10000,2,ignore,1.222702832,,,,17,21.78685856
129,spatial,100000,1,0.1,10,10000,2,embed,1.579101701,,,,15,25.68936133
130,spatial,100000,1,0.1,10,10000,3,ohe,1.528373878,,,,13,83.93585825
131,spatial,100000,1,0.1,10,10000,3,ignore,1.145047748,,,,39,48.37347651
132,spatial,100000,1,0.1,10,10000,3,embed,1.649916259,,,,16,27.07501125
133,spatial,100000,1,0.1,10,10000,4,ohe,1.589575534,,,,13,84.66823459
134,spatial,100000,1,0.1,10,10000,4,ignore,1.192644644,,,,57,71.239223
135,spatial,100000,1,0.1,10,10000,4,embed,1.626858957,,,,16,28.11514974
136,spatial,100000,1,1,0.1,100,0,ohe,1.278230414,,,,44,56.35656214
137,spatial,100000,1,1,0.1,100,0,ignore,1.791342089,,,,42,52.36028504
138,spatial,100000,1,1,0.1,100,0,embed,1.269585171,,,,39,65.16179919
