id,N,sig2e,sig2b,q,deep,experiment,exp_type,mse,sig2e_est,sig2b_est,n_epochs,time
81,100000,1,10,10000,TRUE,0,ignore,3343.789277,,,30,237.8415549
82,100000,1,10,10000,TRUE,0,ignore,3199.725404,,,15,121.8136787
83,100000,1,10,10000,TRUE,0,ignore,3468.379248,,,12,96.02770042
84,100000,1,0.1,100,TRUE,1,lme4,2.955338749,2.941437282,0.697909816,0,0.716346979
85,100000,1,0.1,100,TRUE,2,lme4,2.878039053,2.92961248,0.71715585,0,0.694582224
86,100000,1,0.1,100,TRUE,3,lme4,2.893372705,2.888669021,0.522959302,0,0.908639908
87,100000,1,0.1,100,TRUE,4,lme4,2.854564319,2.908046333,0.167954129,0,0.67999506
88,100000,1,0.1,100,TRUE,5,lme4,2.95616587,2.910496773,0.356007803,0,0.860131979
89,100000,1,0.1,1000,TRUE,1,lme4,2.988017899,2.916657711,4.313885224,0,0.732441902
90,100000,1,0.1,1000,TRUE,2,lme4,2.910367728,2.912445625,2.878537874,0,0.936137915
91,100000,1,0.1,1000,TRUE,3,lme4,2.896220259,2.896314065,3.118380966,0,0.980643034
92,100000,1,0.1,1000,TRUE,4,lme4,2.988880579,2.945651081,4.279434796,0,0.733579874
93,100000,1,0.1,1000,TRUE,5,lme4,2.975413768,2.894048077,3.004566353,0,0.778645992
94,100000,1,0.1,10000,TRUE,1,lme4,3.344464674,2.906741878,33.37863353,0,1.130666018
95,100000,1,0.1,10000,TRUE,2,lme4,3.5471501,2.978191385,34.9557246,0,0.855136871
96,100000,1,0.1,10000,TRUE,3,lme4,3.459049729,2.896185295,36.43224564,0,1.072000027
97,100000,1,0.1,10000,TRUE,4,lme4,3.37274855,2.852519481,33.38914195,0,0.837583065
98,100000,1,0.1,10000,TRUE,5,lme4,3.390560633,2.904101307,30.80250497,0,1.040073872
99,100000,1,1,100,TRUE,1,lme4,2.799587518,2.908771759,1.932351565,0,0.702585936
100,100000,1,1,100,TRUE,2,lme4,2.936380317,2.938827207,1.738606433,0,0.887580156
101,100000,1,1,100,TRUE,3,lme4,2.886238593,2.916867158,1.435888851,0,0.703966141
102,100000,1,1,100,TRUE,4,lme4,2.87762895,2.873910883,1.673532473,0,0.906639099
103,100000,1,1,100,TRUE,5,lme4,2.908851086,2.898270725,5.399390476,0,0.731756926
104,100000,1,1,1000,TRUE,1,lme4,3.024606127,2.91531993,30.71176291,0,0.73958683
105,100000,1,1,1000,TRUE,2,lme4,2.913496019,2.883248833,33.0099576,0,0.721001863
106,100000,1,1,1000,TRUE,3,lme4,2.835179186,2.933191411,29.04495271,0,0.762614012
107,100000,1,1,1000,TRUE,4,lme4,2.933233082,2.890531781,36.62617225,0,0.769047976
108,100000,1,1,1000,TRUE,5,lme4,3.095017043,2.854676155,30.76808671,0,0.937721968
109,100000,1,1,10000,TRUE,1,lme4,4.090161341,2.938246686,336.9569973,0,0.830555916
110,100000,1,1,10000,TRUE,2,lme4,4.441591207,2.930994714,333.3597866,0,0.856568098
111,100000,1,1,10000,TRUE,3,lme4,4.270317678,2.914893612,354.1473447,0,0.965059996
112,100000,1,1,10000,TRUE,4,lme4,4.066210621,2.908820194,333.0951932,0,1.076004028
113,100000,1,1,10000,TRUE,5,lme4,4.585815383,2.910582919,325.7492785,0,0.86823082
114,100000,1,10,100,TRUE,1,lme4,2.867828641,2.887459312,18.88253809,0,0.728145838
115,100000,1,10,100,TRUE,2,lme4,2.896290472,2.878219573,29.39367897,0,0.690620899
116,100000,1,10,100,TRUE,3,lme4,2.983449649,2.919380727,37.21952323,0,0.873425961
117,100000,1,10,100,TRUE,4,lme4,2.880408376,2.933248052,33.17147147,0,0.699624062
118,100000,1,10,100,TRUE,5,lme4,2.855748567,2.846596101,46.02909411,0,0.870347977
119,100000,1,10,1000,TRUE,1,lme4,2.959313432,2.872050396,371.5788985,0,0.711618185
120,100000,1,10,1000,TRUE,2,lme4,2.883286169,2.885717487,368.8535138,0,0.750649929
121,100000,1,10,1000,TRUE,3,lme4,2.896595683,2.905091746,340.3925375,0,0.9358778
122,100000,1,10,1000,TRUE,4,lme4,3.020636105,2.934369629,333.8840744,0,0.747032881
123,100000,1,10,1000,TRUE,5,lme4,3.038880145,2.869977403,274.2271987,0,0.757999897
124,100000,1,10,10000,TRUE,1,lme4,16.27574426,2.88853602,3308.718172,0,1.035184145
125,100000,1,10,10000,TRUE,2,lme4,16.1752016,2.923284087,3133.91331,0,1.042557001
126,100000,1,10,10000,TRUE,3,lme4,14.80372513,2.879030521,3249.823343,0,0.856621027
127,100000,1,10,10000,TRUE,4,lme4,11.39985026,2.885932692,3387.013218,0,0.937927008
128,100000,1,10,10000,TRUE,5,lme4,10.55482023,2.93631901,3448.608231,0,1.057997942
129,100000,1,0.1,100,TRUE,0,lmm,1.175692187,1.09385705,0.165150017,141,1356.900081
130,100000,1,0.1,100,TRUE,1,lmm,1.111486071,1.106284261,0.157402933,110,1058.200315
131,100000,1,0.1,100,TRUE,2,lmm,1.139790116,1.110898137,0.134853825,142,1422.799966
132,100000,1,0.1,100,TRUE,0,lmm,1.098956579,1.086582541,0.173248559,109,1060.941321
133,100000,1,0.1,100,TRUE,1,lmm,1.111785565,1.066928864,0.10279347,131,1321.135509
134,100000,1,0.1,1000,TRUE,0,lmm,1.18747971,0.941655338,0.155404001,141,1497.519448
135,100000,1,0.1,1000,TRUE,1,lmm,1.150606049,0.893624663,0.181051016,155,1559.779393
136,100000,1,0.1,1000,TRUE,2,lmm,1.150138723,0.897392988,0.169553742,143,1445.460785
137,100000,1,0.1,1000,TRUE,0,lmm,1.180233422,0.93149513,0.14845863,145,1478.673107
138,100000,1,0.1,1000,TRUE,1,lmm,1.10917204,0.931105018,0.147292614,123,1351.178369
139,100000,1,0.1,10000,TRUE,0,lmm,1.591678598,0.168021306,0.168880999,85,20232.13235
140,100000,1,0.1,10000,TRUE,1,lmm,1.535539688,0.203516796,0.15649803,99,34145.50897
141,100000,1,0.1,10000,TRUE,2,lmm,1.543579932,0.175721899,0.133451849,115,27298.98764
142,100000,1,0.1,10000,TRUE,0,lmm,1.637855595,0.163639441,0.149572402,117,28842.95457
143,100000,1,0.1,10000,TRUE,1,lmm,1.650645756,0.218007058,0.167907208,89,22330.22109
144,100000,1,1,100,TRUE,0,lmm,1.179762664,1.06081593,0.347952425,252,2627.072404
145,100000,1,1,100,TRUE,1,lmm,1.133960233,1.08657074,0.380168349,296,2806.344777
146,100000,1,1,100,TRUE,2,lmm,1.127082698,1.053985476,0.588134766,364,3876.628881
147,100000,1,1,100,TRUE,0,lmm,1.16579644,1.077994585,0.370652646,223,3017.172274
148,100000,1,1,100,TRUE,1,lmm,1.1787385,1.060213208,0.381918937,321,4665.861369
149,100000,1,1,1000,TRUE,0,lmm,1.15092931,0.829654694,0.457315445,282,2980.4419
150,100000,1,1,1000,TRUE,1,lmm,1.154058765,0.866356015,0.326593459,288,3221.064084
151,100000,1,1,1000,TRUE,2,lmm,1.253114792,0.841319263,0.440445125,284,3007.55954
152,100000,1,1,1000,TRUE,0,lmm,1.270735802,0.838580132,0.501173377,258,2632.745793
153,100000,1,1,1000,TRUE,1,lmm,1.140627678,0.845177472,0.432921231,318,3392.542583
154,100000,1,1,10000,TRUE,0,lmm,4.188367263,0.193144172,0.344338208,199,45098.88461
155,100000,1,1,10000,TRUE,1,lmm,2.673342761,0.179877609,0.359535933,179,44205.63702
156,100000,1,1,10000,TRUE,0,lmm,2.919948016,0.160454378,0.31937018,211,55127.83231
157,100000,1,1,10000,TRUE,1,lmm,2.982635392,0.161657259,0.347677499,211,55263.95604
