,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,rho0,rho1,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
47,slopes,100000,1,0.3,3,3,10000,0.3,0.3,0,ignore,2.138769911,,,,,,,22,30.08360982
48,slopes,100000,1,0.3,3,3,10000,0.3,0.3,0,embed,2.113481182,,,,,,,15,27.60415173
49,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,ohe,1.95002772,,,,,,,14,89.57437086
50,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,ignore,2.203260817,,,,,,,30,40.42583966
51,slopes,100000,1,0.3,3,3,10000,0.3,0.3,1,embed,1.991919988,,,,,,,14,25.7547183
52,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,ohe,2.076933703,,,,,,,13,86.76521206
53,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,ignore,2.442705362,,,,,,,32,42.76444745
54,slopes,100000,1,0.3,3,3,10000,0.3,0.3,2,embed,2.165132869,,,,,,,13,24.24526644
55,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,ohe,2.064021268,,,,,,,13,86.95079613
56,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,ignore,2.352833016,,,,,,,54,72.02077842
57,slopes,100000,1,0.3,3,3,10000,0.3,0.3,3,embed,2.121568244,,,,,,,13,24.24933672
58,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,ohe,2.110191522,,,,,,,13,86.4811697
59,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,ignore,2.307142621,,,,,,,43,56.89361072
60,slopes,100000,1,0.3,3,3,10000,0.3,0.3,4,embed,2.148388203,,,,,,,15,27.70461297
61,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,ohe,1.858767256,,,,,,,13,86.49678898
62,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,ignore,4.466126327,,,,,,,22,29.90192485
63,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,0,embed,1.868801111,,,,,,,19,34.42035866
64,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,ohe,1.954378779,,,,,,,13,87.0768795
65,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,ignore,4.584547766,,,,,,,61,80.4109509
66,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,1,embed,1.951936726,,,,,,,17,31.16710949
67,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,2,ohe,1.959303891,,,,,,,13,87.13587403
68,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,2,ignore,4.670429565,,,,,,,21,28.59857655
69,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,2,embed,2.036262531,,,,,,,18,33.29642367
70,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,3,ohe,2.020107322,,,,,,,14,89.31491661
71,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,3,ignore,4.484798329,,,,,,,27,36.25577736
72,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,3,embed,1.840273701,,,,,,,14,26.02740073
73,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,4,ohe,1.917267526,,,,,,,15,93.32425809
74,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,4,ignore,4.677465776,,,,,,,29,38.83694911
75,slopes,100000,1,3,0.3,0.3,10000,0.3,0.3,4,embed,1.976084411,,,,,,,16,29.44333744
76,slopes,100000,1,3,0.3,3,10000,0.3,0.3,0,ohe,2.000040923,,,,,,,15,92.65948439
77,slopes,100000,1,3,0.3,3,10000,0.3,0.3,0,ignore,4.885286895,,,,,,,47,62.54220152
78,slopes,100000,1,3,0.3,3,10000,0.3,0.3,0,embed,1.826957938,,,,,,,19,34.60619998
79,slopes,100000,1,3,0.3,3,10000,0.3,0.3,1,ohe,2.187262697,,,,,,,13,86.77156687
80,slopes,100000,1,3,0.3,3,10000,0.3,0.3,1,ignore,4.958068131,,,,,,,32,42.78242898
81,slopes,100000,1,3,0.3,3,10000,0.3,0.3,1,embed,2.121162931,,,,,,,15,27.50529146
82,slopes,100000,1,3,0.3,3,10000,0.3,0.3,2,ohe,2.325729844,,,,,,,15,92.82599378
83,slopes,100000,1,3,0.3,3,10000,0.3,0.3,2,ignore,4.737542799,,,,,,,28,37.12573051
84,slopes,100000,1,3,0.3,3,10000,0.3,0.3,2,embed,2.034282514,,,,,,,16,30.0153203
85,slopes,100000,1,3,0.3,3,10000,0.3,0.3,3,ohe,2.171921533,,,,,,,14,90.31915998
86,slopes,100000,1,3,0.3,3,10000,0.3,0.3,3,ignore,4.884986857,,,,,,,18,24.47456312
87,slopes,100000,1,3,0.3,3,10000,0.3,0.3,3,embed,2.069859366,,,,,,,16,29.36412072
88,slopes,100000,1,3,0.3,3,10000,0.3,0.3,4,ohe,2.182597233,,,,,,,14,90.81118464
89,slopes,100000,1,3,0.3,3,10000,0.3,0.3,4,ignore,5.030372994,,,,,,,32,42.41128659
90,slopes,100000,1,3,0.3,3,10000,0.3,0.3,4,embed,2.258652405,,,,,,,20,36.60468149
91,slopes,100000,1,3,3,0.3,10000,0.3,0.3,0,ohe,2.212911142,,,,,,,13,85.95646954
92,slopes,100000,1,3,3,0.3,10000,0.3,0.3,0,ignore,5.327160486,,,,,,,35,46.63774443
93,slopes,100000,1,3,3,0.3,10000,0.3,0.3,0,embed,2.096572226,,,,,,,17,30.79365659
94,slopes,100000,1,3,3,0.3,10000,0.3,0.3,1,ohe,2.089052613,,,,,,,13,85.99757481
95,slopes,100000,1,3,3,0.3,10000,0.3,0.3,1,ignore,5.416200462,,,,,,,33,44.44159961
96,slopes,100000,1,3,3,0.3,10000,0.3,0.3,1,embed,2.079228449,,,,,,,17,31.55618978
97,slopes,100000,1,3,3,0.3,10000,0.3,0.3,2,ohe,2.331328514,,,,,,,14,89.71249652
98,slopes,100000,1,3,3,0.3,10000,0.3,0.3,2,ignore,5.44287427,,,,,,,29,39.03245735
99,slopes,100000,1,3,3,0.3,10000,0.3,0.3,2,embed,2.215136898,,,,,,,15,27.81606579
100,slopes,100000,1,3,3,0.3,10000,0.3,0.3,3,ohe,2.132935382,,,,,,,14,89.37974072
101,slopes,100000,1,3,3,0.3,10000,0.3,0.3,3,ignore,5.649973655,,,,,,,35,46.94872475
102,slopes,100000,1,3,3,0.3,10000,0.3,0.3,3,embed,2.201238853,,,,,,,18,33.17972207
103,slopes,100000,1,3,3,0.3,10000,0.3,0.3,4,ohe,2.233936403,,,,,,,14,89.29494071
104,slopes,100000,1,3,3,0.3,10000,0.3,0.3,4,ignore,5.693472454,,,,,,,33,44.25580239
105,slopes,100000,1,3,3,0.3,10000,0.3,0.3,4,embed,2.107896307,,,,,,,17,31.40954447
106,slopes,100000,1,3,3,3,10000,0.3,0.3,0,ohe,2.401421272,,,,,,,13,86.87966967
107,slopes,100000,1,3,3,3,10000,0.3,0.3,0,ignore,5.697477199,,,,,,,40,53.90322089
108,slopes,100000,1,3,3,3,10000,0.3,0.3,0,embed,2.315823763,,,,,,,17,31.50267482
109,slopes,100000,1,3,3,3,10000,0.3,0.3,1,ohe,2.118272979,,,,,,,14,89.25268507
110,slopes,100000,1,3,3,3,10000,0.3,0.3,1,ignore,5.322920713,,,,,,,32,43.34223795
111,slopes,100000,1,3,3,3,10000,0.3,0.3,1,embed,2.178323312,,,,,,,19,35.23137093
112,slopes,100000,1,3,3,3,10000,0.3,0.3,2,ohe,2.079451579,,,,,,,13,86.84381533
113,slopes,100000,1,3,3,3,10000,0.3,0.3,2,ignore,5.473167103,,,,,,,72,95.89665008
114,slopes,100000,1,3,3,3,10000,0.3,0.3,2,embed,2.332796746,,,,,,,16,29.74744654
115,slopes,100000,1,3,3,3,10000,0.3,0.3,3,ohe,2.236789584,,,,,,,13,86.13122368
116,slopes,100000,1,3,3,3,10000,0.3,0.3,3,ignore,5.551158849,,,,,,,32,43.03206038
117,slopes,100000,1,3,3,3,10000,0.3,0.3,3,embed,2.295961979,,,,,,,23,41.79766607
