,mode,N,sig2e,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time
45,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,ohe,5.575680249,,,,,15,58.58179855
46,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,ignore,113.0457096,,,,,31,44.37395954
47,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,embed,4.393499718,,,,,33,83.83847713
48,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,1,lmm,1.899033616,0.161442339,0.57530272,2.665080786,0.744553685,17,73.7720046
49,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,ohe,8.272181579,,,,,14,56.97325587
50,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,ignore,118.1978563,,,,,20,28.58392715
51,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,embed,8.109337969,,,,,12,31.26890922
52,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,2,lmm,1.847296479,0.153912961,0.642386198,2.272397041,0.591571927,21,86.45278072
53,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,ohe,8.116573714,,,,,14,56.67391229
54,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,ignore,132.2435587,,,,,34,47.73723793
55,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,embed,7.747179369,,,,,13,33.72057915
56,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,3,lmm,1.89624317,0.175146237,0.799763381,2.488577604,0.649393976,21,86.81620073
57,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,4,ohe,6.281144135,,,,,12,52.31959867
58,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,4,ignore,128.8769008,,,,,23,32.93853974
59,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,4,embed,7.417185713,,,,,12,31.33828664
60,intercepts,100000,1,0.3,3,0.3,1000,2000,3000,4,lmm,1.909727161,0.152544484,0.99572438,2.497821569,0.607531667,20,83.19020271
61,intercepts,100000,1,0.3,3,3,1000,2000,3000,0,ohe,12.13668005,,,,,13,54.7557826
62,intercepts,100000,1,0.3,3,3,1000,2000,3000,0,ignore,257.7784859,,,,,36,51.11845708
63,intercepts,100000,1,0.3,3,3,1000,2000,3000,0,embed,16.22411081,,,,,12,31.44346786
64,intercepts,100000,1,0.3,3,3,1000,2000,3000,0,lmm,2.159719184,0.201618463,0.759145677,2.042134285,1.743349075,28,111.5144541
65,intercepts,100000,1,0.3,3,3,1000,2000,3000,1,ohe,11.51992393,,,,,14,57.10049796
66,intercepts,100000,1,0.3,3,3,1000,2000,3000,1,ignore,321.6037526,,,,,30,43.77488542
67,intercepts,100000,1,0.3,3,3,1000,2000,3000,1,embed,17.88650561,,,,,13,34.04920387
68,intercepts,100000,1,0.3,3,3,1000,2000,3000,1,lmm,2.16012808,0.200866818,0.428758144,2.295166254,1.724176407,31,121.6658769
69,intercepts,100000,1,0.3,3,3,1000,2000,3000,2,ohe,14.24713104,,,,,13,54.7679882
70,intercepts,100000,1,0.3,3,3,1000,2000,3000,2,ignore,282.2862063,,,,,20,28.80135417
