,mode,N,sig2e,sig2b0,q0,deep,experiment,exp_type,auc,sig2e_est,sig2b_est0,n_epochs,time
101,glmm,100000,1.0,10.0,1000,True,0,ohe,0.9146669237648773,,,15,103.13143920898438
102,glmm,100000,1.0,10.0,1000,True,0,lmm,0.919056864625032,,3.5927658081054688,46,1254.7227547168732
103,glmm,100000,1.0,10.0,1000,True,0,ignore,0.6632389844987558,,,36,222.80544066429138
104,glmm,100000,1.0,10.0,1000,True,0,embed,0.920867503064355,,,18,162.05422568321228
105,glmm,100000,1.0,10.0,1000,True,1,ohe,0.9091287549088375,,,15,100.17164635658264
106,glmm,100000,1.0,10.0,1000,True,1,lmm,0.9167143910346089,,3.737520217895508,26,737.7318682670593
107,glmm,100000,1.0,10.0,1000,True,1,ignore,0.6607498478574558,,,20,124.38035917282104
108,glmm,100000,1.0,10.0,1000,True,1,embed,0.9173356302283007,,,16,147.78753995895386
109,glmm,100000,1.0,10.0,1000,True,2,ohe,0.9168249542287554,,,13,89.81623458862305
110,glmm,100000,1.0,10.0,1000,True,2,lmm,0.9205184618851848,,3.5855610370635986,33,952.4195365905762
111,glmm,100000,1.0,10.0,1000,True,2,ignore,0.6633872102819036,,,22,136.91204190254211
112,glmm,100000,1.0,10.0,1000,True,2,embed,0.9234048931702795,,,15,139.319251537323
113,glmm,100000,1.0,10.0,1000,True,3,ohe,0.907113212766311,,,16,108.86977529525757
114,glmm,100000,1.0,10.0,1000,True,3,lmm,0.9141691015689137,,3.5298004150390625,37,1017.2426884174347
115,glmm,100000,1.0,10.0,1000,True,3,ignore,0.6709895907548028,,,30,186.444970369339
116,glmm,100000,1.0,10.0,1000,True,3,embed,0.9154035465243581,,,16,144.7436125278473
117,glmm,100000,1.0,10.0,1000,True,4,ohe,0.9124059770031381,,,13,89.21075558662415
118,glmm,100000,1.0,10.0,1000,True,4,lmm,0.9160206573936082,,3.5007083415985107,47,1286.0640940666199
119,glmm,100000,1.0,10.0,1000,True,4,ignore,0.6770292943428688,,,29,182.35185074806213
120,glmm,100000,1.0,10.0,1000,True,4,embed,0.9188289734611207,,,16,149.2752344608307
121,glmm,100000,1.0,0.1,10000,True,0,ohe,0.6650399677369331,,,11,134.40859746932983
122,glmm,100000,1.0,0.1,10000,True,0,lmm,0.7929705210633554,,0.06611157208681107,28,1844.804279088974
123,glmm,100000,1.0,0.1,10000,True,0,ignore,0.791230553099048,,,36,219.23751544952393
124,glmm,100000,1.0,0.1,10000,True,0,embed,0.6781774067153947,,,11,107.52405095100403
125,glmm,100000,1.0,0.1,10000,True,1,ohe,0.6709776268246382,,,11,137.831289768219
126,glmm,100000,1.0,0.1,10000,True,1,lmm,0.7954769832482712,,0.0903683677315712,28,1866.7722034454346
127,glmm,100000,1.0,0.1,10000,True,1,ignore,0.792687946897827,,,23,142.96623420715332
128,glmm,100000,1.0,0.1,10000,True,1,embed,0.6750979182503027,,,12,117.01986885070801
129,glmm,100000,1.0,0.1,10000,True,2,ohe,0.6615857169992917,,,11,134.80190539360046
130,glmm,100000,1.0,0.1,10000,True,2,lmm,0.7902273462949241,,0.11065913736820221,16,1083.121381521225
131,glmm,100000,1.0,0.1,10000,True,2,ignore,0.7878765876987719,,,25,157.55012011528015
132,glmm,100000,1.0,0.1,10000,True,2,embed,0.6657098484567099,,,12,117.33410739898682
133,glmm,100000,1.0,0.1,10000,True,3,ohe,0.67088953009397,,,11,138.84430742263794
134,glmm,100000,1.0,0.1,10000,True,3,lmm,0.7929141090619742,,0.11292225122451782,24,1629.252358675003
135,glmm,100000,1.0,0.1,10000,True,3,ignore,0.7925526256247668,,,21,132.47373485565186
136,glmm,100000,1.0,0.1,10000,True,3,embed,0.6698878200532355,,,12,113.27654671669006
137,glmm,100000,1.0,0.1,10000,True,4,ohe,0.6640215659094162,,,11,135.57090497016907
138,glmm,100000,1.0,0.1,10000,True,4,lmm,0.7931324599804362,,0.10798516869544983,31,2088.5902733802795
139,glmm,100000,1.0,0.1,10000,True,4,ignore,0.7920582484435508,,,33,214.00225949287415
140,glmm,100000,1.0,0.1,10000,True,4,embed,0.6761592024727897,,,11,104.90765357017517
141,glmm,100000,1.0,1.0,10000,True,0,ohe,0.71284362402753,,,11,136.4844777584076
142,glmm,100000,1.0,1.0,10000,True,0,lmm,0.8037844703712307,,0.9083319306373596,17,1193.437772989273
143,glmm,100000,1.0,1.0,10000,True,0,ignore,0.7617993477081744,,,33,205.17750144004822
144,glmm,100000,1.0,1.0,10000,True,0,embed,0.7071906414382517,,,12,117.59739208221436
145,glmm,100000,1.0,1.0,10000,True,1,ohe,0.7162069974778814,,,11,133.19435453414917
146,glmm,100000,1.0,1.0,10000,True,1,lmm,0.8008391268467415,,0.9657418131828308,31,2227.5020699501038
147,glmm,100000,1.0,1.0,10000,True,1,ignore,0.7609020693823172,,,45,294.76307010650635
148,glmm,100000,1.0,1.0,10000,True,1,embed,0.7093012533661625,,,12,132.27420568466187
149,glmm,100000,1.0,1.0,10000,True,2,ohe,0.7083852928755285,,,11,137.36940670013428
150,glmm,100000,1.0,1.0,10000,True,2,lmm,0.8033868246579139,,0.8840199112892151,26,1745.6653096675873
151,glmm,100000,1.0,1.0,10000,True,2,ignore,0.7651952873765194,,,39,251.81731629371643
152,glmm,100000,1.0,1.0,10000,True,2,embed,0.7044767257324074,,,12,121.29063653945923
153,glmm,100000,1.0,1.0,10000,True,3,ohe,0.7096830203336194,,,11,138.38573002815247
154,glmm,100000,1.0,1.0,10000,True,3,lmm,0.8047217275046494,,1.0296484231948853,43,2857.8653752803802
155,glmm,100000,1.0,1.0,10000,True,3,ignore,0.7593139758173184,,,15,95.07687425613403
156,glmm,100000,1.0,1.0,10000,True,3,embed,0.7066133438538137,,,12,115.55007910728455
157,glmm,100000,1.0,1.0,10000,True,4,ohe,0.7064275129644102,,,11,136.30758428573608
158,glmm,100000,1.0,1.0,10000,True,4,lmm,0.8083770337182425,,0.9775719046592712,37,2565.004737138748
159,glmm,100000,1.0,1.0,10000,True,4,ignore,0.7691858276046651,,,18,113.85219621658325
160,glmm,100000,1.0,1.0,10000,True,4,embed,0.7182443074843056,,,12,116.20062232017517
161,glmm,100000,1.0,10.0,10000,True,0,ohe,0.8721316527297893,,,12,142.87280559539795
162,glmm,100000,1.0,10.0,10000,True,0,lmm,0.9022014759054057,,5.242573261260986,27,1855.2231659889221
163,glmm,100000,1.0,10.0,10000,True,0,ignore,0.6633810621226821,,,26,162.71607089042664
164,glmm,100000,1.0,10.0,10000,True,0,embed,0.8695645916294295,,,13,122.0434308052063
165,glmm,100000,1.0,10.0,10000,True,1,ohe,0.868898779334665,,,12,152.15210819244385
166,glmm,100000,1.0,10.0,10000,True,1,lmm,0.8982334869083998,,5.429954528808594,33,2284.6603996753693
167,glmm,100000,1.0,10.0,10000,True,1,ignore,0.668594680968246,,,23,138.9689223766327
168,glmm,100000,1.0,10.0,10000,True,1,embed,0.872957080506011,,,12,113.45333814620972
169,glmm,100000,1.0,10.0,10000,True,2,ohe,0.870426659360832,,,12,151.94776034355164
170,glmm,100000,1.0,10.0,10000,True,2,lmm,0.8995395153856386,,5.497045040130615,30,2222.2822394371033
171,glmm,100000,1.0,10.0,10000,True,2,ignore,0.6632131312280098,,,33,199.00069189071655
172,glmm,100000,1.0,10.0,10000,True,2,embed,0.8725563618750479,,,13,127.78717756271362
173,glmm,100000,1.0,10.0,10000,True,3,ohe,0.8680562975132897,,,12,158.3858449459076
174,glmm,100000,1.0,10.0,10000,True,3,lmm,0.8979506992023988,,5.2396931648254395,19,1430.1597843170166
175,glmm,100000,1.0,10.0,10000,True,3,ignore,0.6683741572406096,,,39,244.7052354812622
176,glmm,100000,1.0,10.0,10000,True,3,embed,0.8667461953626743,,,13,124.79532027244568
177,glmm,100000,1.0,10.0,10000,True,4,ohe,0.8708560683862664,,,12,152.77765369415283
178,glmm,100000,1.0,10.0,10000,True,4,lmm,0.8985043271776901,,5.348964691162109,30,2270.014941215515
179,glmm,100000,1.0,10.0,10000,True,4,ignore,0.6593673922963725,,,29,181.94507694244385
180,glmm,100000,1.0,10.0,10000,True,4,embed,0.8664344422556425,,,13,126.0065107345581
