,mode,N,sig2e,sig2b0,sig2b1,sig2b0_spatial,sig2b1_spatial,q0,q1,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_est0,sig2b_est1,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
40,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,3,ohe,2.115451008,,,,,,20,164.2104609
41,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,3,ignore,4.74714028,,,,,,24,31.22811341
42,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,3,embed,1.977928238,,,,,,22,50.89422226
43,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,4,ohe,2.228039454,,,,,,18,173.1362584
44,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,4,ignore,4.888314886,,,,,,43,55.20475221
45,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,4,embed,2.179483115,,,,,,31,71.52559114
46,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,0,ohe,2.503065575,,,,,,18,173.7416902
47,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,0,ignore,5.625334235,,,,,,80,100.1868951
48,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,0,embed,2.226658968,,,,,,28,64.83923817
49,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,1,ohe,2.421116277,,,,,,25,194.9978814
50,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,1,ignore,5.434559613,,,,,,75,95.60317326
51,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,1,embed,2.24084213,,,,,,27,62.7595787
52,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,2,ohe,2.556423255,,,,,,20,178.8826957
53,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,2,ignore,5.608313955,,,,,,65,83.14878273
54,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,2,embed,2.292928198,,,,,,24,56.26144266
55,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,3,ohe,2.513477399,,,,,,21,178.5741768
56,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,3,ignore,5.650891702,,,,,,51,65.17747021
57,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,3,embed,2.371674087,,,,,,34,78.43746114
58,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,4,ohe,2.57246324,,,,,,26,208.8328497
59,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,4,ignore,5.580720589,,,,,,90,116.6538944
60,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,4,embed,2.270726338,,,,,,30,70.69081616
61,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,0,ohe,2.054312975,,,,,,20,175.2247536
62,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,0,ignore,4.763788454,,,,,,42,55.16089177
63,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,0,embed,1.952654237,,,,,,18,43.85198116
64,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,1,ohe,2.103086304,,,,,,17,164.4467659
65,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,1,ignore,4.674918338,,,,,,43,55.49465156
66,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,1,embed,2.024087433,,,,,,24,57.17219496
67,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,2,ohe,2.27188432,,,,,,16,161.5953524
68,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,2,ignore,4.835939196,,,,,,19,25.19683218
69,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,2,embed,2.076796844,,,,,,27,63.17471838
70,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,3,ohe,2.080452453,,,,,,17,168.8147309
71,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,3,ignore,4.6356863,,,,,,23,29.55525112
72,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,3,embed,2.045770162,,,,,,19,43.68822622
73,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,4,ohe,2.083322328,,,,,,14,157.6900604
74,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,4,ignore,4.871004937,,,,,,25,32.24368906
75,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,4,embed,1.957750296,,,,,,22,50.61553907
76,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,0,ohe,2.591642725,,,,,,23,197.2403576
77,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,0,ignore,5.660026065,,,,,,55,70.33430886
78,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,0,embed,2.165088982,,,,,,28,64.80965853
79,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,1,ohe,2.637770015,,,,,,19,168.3912721
80,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,1,ignore,5.601150271,,,,,,80,100.4133058
81,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,1,embed,2.223109584,,,,,,25,57.77257419
82,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,2,ohe,2.726171926,,,,,,48,298.925256
83,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,2,ignore,5.615259793,,,,,,57,72.64741182
84,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,2,embed,2.273078049,,,,,,31,70.3789084
85,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,3,ohe,2.617550373,,,,,,17,176.9100618
86,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,3,ignore,5.80137708,,,,,,120,149.1489985
87,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,3,embed,2.250337047,,,,,,24,55.00327778
88,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,4,ohe,2.494258797,,,,,,14,151.6092296
89,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,4,ignore,5.659662406,,,,,,106,133.5311022
90,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,4,embed,2.055599615,,,,,,28,65.77085972
91,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,0,ohe,2.305964782,,,,,,27,207.9019046
92,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,0,ignore,7.513158496,,,,,,36,47.41761208
93,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,0,embed,2.220462362,,,,,,20,47.18158412
94,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,1,ohe,2.439337753,,,,,,15,162.6531217
95,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,1,ignore,7.617644385,,,,,,24,31.26397991
96,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,1,embed,2.167381483,,,,,,21,48.70515299
97,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,2,ohe,2.37666875,,,,,,17,178.1956301
98,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,2,ignore,7.475749723,,,,,,37,47.80532074
99,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,2,embed,2.166167187,,,,,,22,50.77615237
100,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,3,ohe,2.406548205,,,,,,16,161.1935813
101,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,3,ignore,7.405841722,,,,,,48,61.07698131
102,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,3,embed,2.147463297,,,,,,31,70.4823029
103,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,4,ohe,2.354836156,,,,,,16,170.7004793
104,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,4,ignore,7.526723615,,,,,,26,33.23671651
105,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,4,embed,2.220519866,,,,,,20,45.769454
106,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,0,ohe,2.672414923,,,,,,17,175.5872078
107,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,0,ignore,8.254738435,,,,,,54,68.08073926
108,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,0,embed,2.53833868,,,,,,32,73.1061995
109,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,1,ohe,2.659236397,,,,,,18,168.7916369
110,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,1,ignore,8.51525422,,,,,,87,109.350872
111,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,1,embed,2.337127056,,,,,,31,70.35934925
112,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,2,ohe,2.837873111,,,,,,16,161.3316405
113,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,2,ignore,8.14346822,,,,,,74,93.91458058
114,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,2,embed,2.455638566,,,,,,27,62.4478209
115,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,3,ohe,2.790682905,,,,,,16,168.2420859
116,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,3,ignore,8.47988144,,,,,,68,86.79582548
117,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,3,embed,2.535214525,,,,,,33,75.82361317
118,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,4,ohe,2.738284569,,,,,,17,176.5855124
119,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,4,ignore,8.587713096,,,,,,49,62.07789636
120,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,4,embed,2.627430284,,,,,,25,57.57079077
121,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,0,lmm,1.373683001,1.111461,0.3009016,0.29669303,0.2845614,0.82823455,78,311.1833677
122,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,1,lmm,1.378156961,1.1077821,0.299346,0.3181609,0.2874058,1.0129154,57,231.3362598
123,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,2,lmm,1.329612968,1.1209966,0.2970694,0.3067794,0.2302088,0.9759181,58,234.3111703
124,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,3,lmm,1.416356289,1.110479,0.29591024,0.3209061,0.2867043,1.3337631,39,171.1958435
125,spatial_and_categoricals,100000,1,0.3,0.3,0.3,1,3000,3000,10000,4,lmm,1.4175947,1.1359501,0.29403165,0.2885289,0.30505848,1.1302121,35,158.1919677
126,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,0,lmm,1.434504259,1.1352175,0.279223,0.28577143,3.0384152,1.0369166,41,181.1156483
127,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,1,lmm,1.436897321,1.1332197,0.29118764,0.29697183,3.2662704,1.0974998,60,242.4454393
128,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,2,lmm,1.370164672,1.1398864,0.27731022,0.30185223,3.0168886,0.9176587,37,163.8433957
129,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,3,lmm,1.463571753,1.1402669,0.3092982,0.3122677,2.8797767,0.7161286,41,177.0628431
130,spatial_and_categoricals,100000,1,0.3,0.3,3,1,3000,3000,10000,4,lmm,1.412753067,1.1447452,0.31566045,0.2698893,2.690135,0.9736786,33,151.0207498
131,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,0,lmm,1.672042479,1.1090612,0.32260978,3.0657916,0.3180629,0.9085446,53,218.3897161
132,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,1,lmm,1.696547525,1.0927405,0.31404433,3.0835228,0.2938031,0.97307444,84,325.7462566
133,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,2,lmm,1.826948267,1.1550494,0.31469846,3.085383,0.3052038,1.071672,28,131.8422272
134,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,3,lmm,1.667677698,1.1237133,0.26637077,2.974532,0.2874994,1.0020128,69,273.2343116
135,spatial_and_categoricals,100000,1,0.3,3,0.3,1,3000,3000,10000,4,lmm,1.630122917,1.1184114,0.2951268,2.9238296,0.2886139,1.2178965,49,202.481591
136,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,0,lmm,1.642917238,1.1318438,0.30827487,3.073106,2.4914238,0.85290205,46,193.8807271
137,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,1,lmm,1.679895482,1.1101326,0.25690615,2.9986842,3.2066128,1.2852741,52,212.8589036
138,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,2,lmm,1.678592216,1.1230237,0.29958755,3.123705,2.872247,1.1649562,48,199.2537274
139,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,3,lmm,1.710037784,1.1066794,0.2746222,3.0167806,3.7331953,0.9284984,67,261.1307209
140,spatial_and_categoricals,100000,1,0.3,3,3,1,3000,3000,10000,4,lmm,1.688555353,1.1178992,0.31267765,2.982806,2.9932547,0.9661994,59,234.8828533
141,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,0,lmm,1.673646811,1.1096041,2.8447852,0.29993063,0.25239193,1.2141241,68,269.5587063
142,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,1,lmm,1.737567697,1.1293169,3.0277045,0.2865358,0.28331724,1.0582557,76,293.6021185
143,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,2,lmm,1.723550097,1.1348494,2.998332,0.32486147,0.27262813,0.95476216,33,151.8476892
144,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,3,lmm,1.6960827,1.1268175,3.0049276,0.29838625,0.28309298,0.8899784,51,211.1916184
145,spatial_and_categoricals,100000,1,3,0.3,0.3,1,3000,3000,10000,4,lmm,1.750185782,1.1314099,2.9676445,0.32038397,0.29145828,1.0536457,34,151.5699227
146,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,0,lmm,1.731139269,1.1186625,3.0041006,0.30457348,2.7660167,1.0198421,65,254.7636085
147,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,1,lmm,1.705493522,1.1376915,3.0019975,0.32675683,2.761925,0.9136383,37,161.1572049
148,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,2,lmm,1.729749003,1.1071621,3.011622,0.31449413,2.9199753,1.0315844,67,263.2440338
149,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,3,lmm,1.690572323,1.140625,2.89511,0.28653413,2.671622,0.91312164,45,189.0879586
150,spatial_and_categoricals,100000,1,3,0.3,3,1,3000,3000,10000,4,lmm,1.803182534,1.1204522,2.982947,0.29150772,2.666982,0.9625656,55,225.6066225
151,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,0,lmm,2.151693289,1.1290443,3.0734527,3.0536323,0.3079964,0.9321792,36,159.0467045
152,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,1,lmm,2.201196301,1.1235003,2.9431884,3.0842452,0.41534007,1.5780805,37,162.5528815
153,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,2,lmm,2.087346532,1.1312076,3.1063356,3.1945817,0.3116229,0.8619841,28,130.7169046
154,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,3,lmm,2.112338673,1.1480483,2.9408078,3.2323847,0.30784217,1.0736659,35,154.0666189
155,spatial_and_categoricals,100000,1,3,3,0.3,1,3000,3000,10000,4,lmm,2.024875042,1.1267778,3.1878498,2.9142563,0.25349683,1.33472,58,234.1541288
156,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,0,lmm,2.128666147,1.1232383,3.0702524,2.9078915,2.9689872,1.1572303,45,196.5926735
157,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,1,lmm,2.197541481,1.1381204,2.8158288,2.7347844,3.0667539,0.98947257,38,166.287451
158,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,2,lmm,2.143590958,1.1516905,2.807596,2.9461832,2.903964,0.865113,44,186.4902649
159,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,3,lmm,2.051218417,1.1441503,2.8997898,2.9254012,2.803579,0.9153098,48,198.1179421
160,spatial_and_categoricals,100000,1,3,3,3,1,3000,3000,10000,4,lmm,2.110454549,1.1185864,2.9645402,2.9804456,3.3160017,0.9905098,59,236.0797093
