host_id,n
21539,112
15819,77
18755,76
5944,67
38966,65
27096,64
28430,59
10644,52
32876,44
33683,40
3317,39
5509,37
28433,33
4385,32
109,31
23509,31
28265,31
38236,30
20488,28
30210,28
20079,26
14563,22
26902,22
37210,22
33249,21
16003,20
18450,20
20568,20
35173,20
9026,19
33609,19
36133,19
39025,19
10425,18
28946,18
37800,18
34904,16
36455,16
26075,15
37484,15
12009,14
31866,14
34672,14
37464,14
12341,13
19321,13
24020,13
32765,13
37466,13
2581,12
6020,12
10071,12
11922,12
24111,12
31914,12
32661,12
1158,11
13108,11
23057,11
28763,11
32359,11
36810,11
1324,10
7467,10
8157,10
8443,10
9182,10
15440,10
16574,10
25434,10
28760,10
29445,10
34424,10
35116,10
1052,9
2157,9
15238,9
16617,9
25911,9
28995,9
32181,9
244,8
2649,8
6628,8
7003,8
11580,8
12830,8
14152,8
18690,8
23017,8
23819,8
27404,8
30381,8
32568,8
32924,8
33390,8
33685,8
34450,8
34975,8
37450,8
37557,8
37745,8
38619,8
38990,8
39181,8
602,7
3537,7
5323,7
8447,7
12689,7
16130,7
16660,7
16709,7
19241,7
21532,7
21826,7
23295,7
23863,7
24198,7
27927,7
28559,7
28660,7
29974,7
30023,7
30953,7
31651,7
32703,7
33361,7
34285,7
34686,7
34699,7
36437,7
36642,7
36989,7
37462,7
37463,7
37538,7
38373,7
38560,7
38652,7
38675,7
39003,7
39308,7
4,6
119,6
194,6
1732,6
1984,6
2201,6
2296,6
3132,6
3642,6
4252,6
4357,6
5177,6
5475,6
5672,6
5741,6
6332,6
8043,6
8546,6
11592,6
14917,6
15438,6
16391,6
16939,6
17865,6
18008,6
18493,6
18543,6
19765,6
19839,6
20889,6
23041,6
24486,6
24551,6
24886,6
25392,6
26500,6
26569,6
26848,6
28229,6
29426,6
29822,6
30099,6
30516,6
30922,6
31979,6
32289,6
32464,6
32658,6
32663,6
32805,6
33077,6
33246,6
33422,6
33463,6
33981,6
34166,6
34893,6
35083,6
35101,6
35276,6
35923,6
36074,6
36206,6
36387,6
36403,6
