epoch,experiment,loss,sig2b_est0,sig2b_est1,sig2b_est2,sig2b_est3,sig2b_est4,sig2b_grad0,sig2b_grad1,sig2b_grad2,sig2b_grad3,sig2b_grad4,sig2e_est,sig2e_grad,val_loss
35,1,50.60493469,1.5892944,2.5087855,3.8689137,4.3689175,6.0709553,-0.016862392,0.078437805,0.18506408,0.16860521,0.055271626,0.29931504,1.2999144,51.10119629
36,1,50.52141571,1.5882225,2.4495697,3.7967663,4.245477,5.9827504,-0.11840963,-0.02859068,-0.15068507,0.022438288,0.058362007,0.294519,0.003856152,51.23485947
37,1,50.49509811,1.5248718,2.4322999,3.6913183,4.1778255,5.8729563,-0.045163155,0.024835587,-0.05580759,0.045033544,0.014325142,0.29676834,0.7476116,50.89243317
38,1,50.49988556,1.5289963,2.3764167,3.652607,4.153771,5.817627,0.052202463,-0.013374567,-0.016732693,0.013654664,0.07619572,0.32760134,0.9391468,51.02696228
39,1,50.40314484,1.5040631,2.3328753,3.5647862,4.049383,5.7038417,0.02907896,0.041987896,-0.002958298,-0.09255297,-0.019676208,0.27078342,0.707271,50.76871109
40,1,50.37014771,1.4429215,2.2790642,3.5215693,3.9643533,5.594785,-0.18012762,-0.031111717,-0.07603812,-0.2597189,-0.13515186,0.33233738,-2.0244057,50.5948143
41,1,50.32692337,1.4436805,2.2633424,3.4324398,3.9353771,5.5434127,-0.14395237,0.1398449,-0.16331387,-0.19170707,-0.10470295,0.3156971,-2.1470718,50.79612732
42,1,50.30950165,1.4211719,2.211867,3.370264,3.8591123,5.456063,-0.2810483,0.024053097,-0.12653375,-0.1363222,0.022433281,0.2527408,-0.1443811,50.86626816
43,1,50.15919876,1.3689606,2.1652231,3.3031945,3.7719548,5.370464,-0.2538767,0.007050037,-0.052171946,0.025383353,0.06008911,0.28208,0.33946526,50.98907089
44,1,50.20386124,1.3229018,2.1134396,3.2757356,3.71221,5.2253785,0.040555477,0.016962051,0.11620283,-0.108897686,0.094558716,0.32056284,0.7956333,50.82321167
45,1,50.22055817,1.3172218,2.1091046,3.2291584,3.6818047,5.225103,0.062122345,-0.27831268,-0.00273037,-0.10644126,-0.096120834,0.30761817,-0.9521935,50.6452446
46,1,50.12588501,1.2978762,2.067036,3.152101,3.6153302,5.1275287,-0.12264061,-0.103886604,0.000574112,0.021472514,-0.17971611,0.2942837,-1.3623546,50.50497055
47,1,50.1182251,1.2491914,2.02244,3.1082613,3.578542,5.050109,-0.01154089,-0.13185787,-0.05173874,-0.045742005,-0.061805725,0.28228134,-0.72280127,50.62084961
48,1,50.09326935,1.2429292,1.9945878,3.0622118,3.5189772,5.0088444,-0.12939215,0.02162075,-0.08383417,0.053250074,0.07800102,0.29940647,0.025062561,50.79312134
49,1,50.00087357,1.2244955,1.9651512,3.0349076,3.4853332,4.9276495,0.03570795,-0.18200493,-0.074604034,-0.24657589,0.029764175,0.29674748,-1.2034937,50.63120651
50,1,50.00708771,1.22252,1.9501091,3.0148907,3.4030144,4.8850164,0.13860273,-0.046708107,-0.12928939,-0.13055456,-0.08538151,0.29880604,-1.2332971,50.50554657
51,1,49.94186783,1.1850643,1.8974155,2.9469028,3.387511,4.790979,-0.34951496,-0.5494604,-0.2705636,-0.48463535,-0.12727356,0.29722598,-3.9535346,50.60389328
