location,n
632,14
1637,14
1814,14
1909,14
1953,14
172,14
249,14
881,14
2044,14
1581,14
2171,14
2061,14
1430,14
2258,14
2373,14
706,14
1188,14
711,14
2255,14
1132,14
675,14
796,14
2000,14
1888,14
783,14
1955,14
788,14
524,13
1636,13
1561,13
966,13
2301,13
1160,13
684,13
246,13
750,13
712,13
1323,13
941,13
744,13
1860,13
585,13
683,13
1394,13
785,13
1900,13
1468,13
677,13
2135,13
1654,13
2457,13
956,13
782,13
498,13
1911,13
1384,13
1019,13
673,13
2615,13
634,13
1401,13
2223,13
1371,12
579,12
2591,12
368,12
2163,12
213,12
991,12
1203,12
1931,12
1216,12
2401,12
2120,12
685,12
2509,12
2039,12
948,12
1989,12
2257,12
2569,12
629,12
2084,12
2334,12
749,12
2217,12
487,12
1354,12
1413,12
2152,12
449,11
1494,11
1798,11
998,11
1522,11
2050,11
2060,11
2303,11
1620,11
826,11
1467,11
396,11
2286,11
2417,11
2107,11
1395,11
2435,11
839,11
2832,11
1189,11
575,11
1843,11
1426,11
1415,11
1815,11
1021,11
2134,11
1419,11
377,11
2351,11
836,11
1634,11
2688,11
2045,11
827,11
1988,11
668,11
580,11
623,11
534,11
2766,10
1857,10
1802,10
1997,10
626,10
1717,10
1110,10
970,10
1103,10
1913,10
2046,10
2809,10
145,10
1377,10
1510,10
1747,10
1810,10
1453,10
728,10
2098,10
787,10
464,10
2539,10
2338,10
2282,10
1321,10
1205,10
2346,10
830,10
1493,10
2025,10
2345,10
173,10
1669,10
2784,10
581,10
2049,10
2429,10
759,10
2518,10
2430,10
2347,10
630,10
2568,10
1782,10
2058,10
1865,9
431,9
2108,9
530,9
1185,9
1585,9
2560,9
2390,9
2427,9
1333,9
2243,9
2486,9
2420,9
2715,9
1104,9
2325,9
667,9
2047,9
2379,9
1584,9
2225,9
1327,9
886,9
319,9
1528,9
1765,9
2570,9
699,9
1639,9
2416,9
911,9
1767,9
2144,9
1443,9
2600,9
689,9
1424,9
741,9
1373,9
1367,9
1617,9
2184,9
1706,9
996,9
2409,9
721,9
1242,9
639,9
209,8
1347,8
2062,8
533,8
1268,8
1506,8
528,8
2083,8
2542,8
1249,8
369,8
569,8
2133,8
2086,8
2561,8
2508,8
376,8
1425,8
1910,8
2003,8
412,8
2153,8
263,8
1243,8
2032,8
2010,8
837,8
2233,8
1763,8
570,8
2245,8
831,8
730,8
2012,8
1885,8
2146,8
397,8
2145,8
1481,8
921,8
2447,8
2177,8
2791,8
2418,8
2013,8
1995,8
1863,8
1615,8
2210,8
1998,8
613,8
1246,8
2104,8
1564,8
1897,8
2728,8
403,8
422,8
1855,8
2819,8
2609,8
1083,8
986,8
1014,8
1718,8
1801,8
870,8
622,8
451,8
518,7
658,7
1015,7
1945,7
342,7
2327,7
2048,7
1131,7
813,7
497,7
2097,7
1583,7
2205,7
2419,7
578,7
2072,7
1034,7
430,7
702,7
2665,7
373,7
2324,7
1294,7
1403,7
2772,7
957,7
2106,7
2523,7
1859,7
577,7
1873,7
1921,7
2164,7
1811,7
2517,7
1957,7
2362,7
1764,7
840,7
1251,7
674,7
722,7
2516,7
885,7
2436,7
594,7
370,7
2328,7
1582,7
1809,7
2802,7
2448,7
589,7
2227,7
1356,7
2519,7
311,7
1992,7
705,7
2148,7
1370,7
1473,7
2004,7
2783,7
1469,7
1618,7
760,7
405,7
1040,7
456,7
504,7
2381,7
522,7
704,7
1018,7
1635,7
1858,7
880,6
691,6
2487,6
457,6
344,6
665,6
823,6
688,6
318,6
1768,6
310,6
206,6
2707,6
1720,6
1563,6
423,6
1102,6
2657,6
1529,6
1961,6
299,6
584,6
925,6
1779,6
1687,6
2801,6
983,6
2006,6
2585,6
1536,6
2455,6
1964,6
2305,6
1560,6
2813,6
1326,6
2186,6
1845,6
2550,6
313,6
1496,6
947,6
567,6
2036,6
2363,6
2458,6
1222,6
2194,6
1711,6
2567,6
248,6
1759,6
207,6
1864,6
2456,6
1714,6
1660,6
2276,6
984,6
1202,6
521,6
425,6
1701,6
424,6
2631,6
1186,6
171,6
1297,6
1962,6
1190,6
1524,6
1134,6
879,6
2437,6
314,6
967,6
1666,6
1658,6
1986,6
1298,6
452,6
1136,6
822,6
1762,6
2837,6
884,6
582,6
2540,6
1548,6
625,6
1719,6
238,6
2281,6
419,6
1976,6
942,6
2450,6
1515,6
2020,5
1215,5
799,5
372,5
1896,5
591,5
1662,5
1558,5
1829,5
1848,5
2453,5
2185,5
1471,5
761,5
2586,5
2522,5
724,5
2595,5
1958,5
2292,5
1417,5
2057,5
981,5
1689,5
1269,5
532,5
765,5
542,5
232,5
798,5
2377,5
695,5
490,5
471,5
1733,5
2701,5
2274,5
1358,5
1158,5
1480,5
2613,5
390,5
2499,5
968,5
99,5
388,5
1616,5
2470,5
1668,5
435,5
541,5
1078,5
597,5
987,5
1508,5
484,5
2128,5
2865,5
143,5
2541,5
546,5
2724,5
2434,5
1141,5
2190,5
2096,5
2681,5
176,5
766,5
2833,5
2733,5
417,5
2165,5
693,5
486,5
1549,5
1252,5
1404,5
2826,5
1903,5
1020,5
2344,5
2066,5
1667,5
2119,5
226,5
659,5
1244,5
2093,5
1526,5
2026,5
861,5
2054,5
1974,5
1753,5
499,5
1766,5
1037,5
2795,5
2157,5
2646,5
2768,5
1451,5
2638,5
972,5
1452,5
1106,5
1489,5
1813,5
2393,5
2014,5
1369,5
1133,5
2273,5
2593,5
1305,5
1833,5
2073,5
690,5
1686,5
640,5
1882,5
2534,5
2275,5
308,5
727,5
2682,5
2770,5
2242,5
2810,5
2771,5
562,5
538,5
2632,5
1053,5
1633,5
1258,5
291,5
1052,5
2391,5
2704,5
2811,5
208,5
980,5
339,5
2601,4
350,4
588,4
2250,4
901,4
1793,4
2736,4
343,4
1187,4
922,4
141,4
2189,4
814,4
1260,4
1850,4
2663,4
1455,4
985,4
2101,4
2785,4
429,4
2446,4
1376,4
1022,4
358,4
502,4
2521,4
2718,4
1902,4
180,4
2786,4
2027,4
2751,4
838,4
1303,4
1274,4
347,4
1502,4
2038,4
2316,4
2052,4
2459,4
2828,4
1383,4
2803,4
657,4
1363,4
2294,4
2343,4
2340,4
1081,4
374,4
1854,4
1877,4
2606,4
1726,4
1663,4
529,4
701,4
1748,4
272,4
1525,4
1084,4
1674,4
1632,4
1926,4
1245,4
946,4
2820,4
1914,4
1754,4
1870,4
2159,4
1670,4
2690,4
540,4
2827,4
1049,4
1082,4
1459,4
1928,4
1915,4
883,4
1353,4
1675,4
2685,4
645,4
897,4
1017,4
2074,4
1771,4
537,4
474,4
686,4
1975,4
1248,4
298,4
2643,4
2024,4
1659,4
1551,4
2706,4
536,4
400,4
1446,4
117,4
241,4
2053,4
1847,4
1987,4
2806,4
1207,4
1135,4
1919,4
1806,4
235,4
61,4
2655,4
1221,4
781,4
1568,4
2607,4
1148,4
2773,4
974,4
2256,4
1359,4
526,4
262,4
1866,4
506,4
2543,4
1785,4
2071,4
647,4
776,4
2777,4
418,4
1805,4
762,4
1886,4
800,4
535,4
216,4
331,4
2533,4
1416,4
928,4
2466,4
2678,4
2011,4
2671,4
1823,4
2843,4
1322,4
371,4
2326,4
2289,4
994,4
1856,4
649,4
290,4
1505,4
2654,4
340,4
2760,4
460,4
1609,4
703,4
1509,4
1146,4
742,4
2121,4
1929,4
1255,4
287,4
878,4
326,4
327,4
1503,4
1557,4
398,4
201,4
1444,4
2376,4
140,4
531,4
462,4
458,4
2640,4
973,4
1191,3
650,3
268,3
1709,3
2605,3
1721,3
1427,3
312,3
891,3
239,3
245,3
1874,3
1812,3
1965,3
428,3
2856,3
1818,3
2796,3
1209,3
122,3
1157,3
493,3
2488,3
345,3
2244,3
2616,3
