album,n
8818,3
5567,3
5585,3
18236,3
11047,3
20226,3
10476,3
2889,3
2766,3
2891,3
135,3
13169,3
4196,3
16723,3
7431,3
1941,3
1930,3
1339,3
4098,3
1926,3
14225,3
1287,3
11064,3
5944,3
8822,3
1319,3
17815,3
1927,3
5577,3
7412,3
13208,3
9916,3
14199,3
16314,3
9943,3
1324,3
1940,3
6864,3
13186,3
14241,3
11052,3
5045,3
6897,3
1304,3
6833,3
5917,3
16135,3
6898,3
17819,3
5573,3
5046,3
1281,3
5050,3
16726,3
8835,3
2896,3
13089,3
13700,3
6062,3
3089,3
16763,3
19966,3
13710,3
10530,3
4898,3
17367,3
4065,3
7322,3
1099,3
17371,3
17747,3
17787,3
4912,3
1995,3
16717,3
9740,3
20000,3
13082,3
3043,3
13086,3
8673,3
1072,3
2053,3
4868,3
13689,3
14446,3
13030,3
13693,3
9667,3
11292,3
4863,3
8859,3
13037,3
1041,3
4872,3
11269,3
8666,3
4876,3
3115,3
4877,3
4879,3
11277,3
9689,3
2021,3
17773,3
2017,3
4069,3
11222,3
5969,3
9746,3
4978,3
15707,3
15712,3
16721,3
2936,3
15713,3
4190,3
4085,3
1958,3
1209,3
2927,3
2921,3
4089,3
15720,3
17722,3
1227,3
6743,3
13633,3
5006,3
16343,3
5012,3
5564,3
18239,3
4977,3
15702,3
11167,3
9762,3
7336,3
9747,3
13725,3
3033,3
159,3
4201,3
10510,3
4930,3
17737,3
18304,3
1979,3
16771,3
14353,3
3010,3
4072,3
10598,3
1175,3
16667,3
1181,3
17726,3
2116,3
14310,3
20242,3
10326,3
7436,3
16303,3
6792,3
1631,3
13409,3
1823,3
10239,3
6793,3
1642,3
1644,3
5656,3
2268,3
1645,3
5755,3
5754,3
7761,3
15176,3
1657,3
6797,3
21138,3
1661,3
13423,3
2426,3
5661,3
10253,3
1624,3
79,3
17905,3
2257,3
5789,3
5787,3
2255,3
21186,3
17585,3
1588,3
5784,3
16237,3
1594,3
10204,3
8796,3
13401,3
10205,3
13970,3
5773,3
4134,3
16752,3
10712,3
17596,3
5765,3
10229,3
13399,3
1812,3
8770,3
8771,3
13509,3
2303,3
10338,3
10290,3
2363,3
17924,3
10795,3
1732,3
10335,3
10305,3
5717,3
10333,3
1713,3
5689,3
17645,3
2330,3
6816,3
2327,3
17934,3
13890,3
16199,3
5696,3
10761,3
2302,3
21036,3
10353,3
2399,3
12267,3
5673,3
8700,3
1680,3
1683,3
16224,3
17920,3
5745,3
1690,3
10266,3
5675,3
8784,3
5677,3
10267,3
10269,3
10270,3
13447,3
2393,3
13449,3
10340,3
1701,3
13450,3
1580,3
5791,3
13980,3
2647,3
5158,3
20324,3
5861,3
5859,3
10976,3
2165,3
14096,3
1441,3
5850,3
17837,3
5608,3
6827,3
13306,3
7925,3
7709,3
14092,3
2639,3
12180,3
2185,3
13309,3
5628,3
1456,3
5602,3
18112,3
17544,3
10018,3
17826,3
2150,3
20250,3
7440,3
5894,3
8817,3
5892,3
17506,3
18133,3
13272,3
17827,3
1413,3
2703,3
17514,3
5142,3
4187,3
5145,3
1404,3
17520,3
20606,3
14111,3
16285,3
2213,3
1462,3
16869,3
1555,3
15874,3
5201,3
10119,3
2554,3
1535,3
10156,3
14010,3
2523,3
14002,3
16736,3
16815,3
8693,3
5801,3
17582,3
7758,3
1561,3
5798,3
17583,3
13987,3
1569,3
8766,3
5795,3
1518,3
6888,3
13316,3
13326,3
17546,3
2630,3
10686,3
6771,3
1479,3
12298,3
1482,3
2621,3
10944,3
12240,3
2619,3
17676,3
1492,3
1493,3
16825,3
1497,3
13828,3
1503,3
16732,3
7904,3
17893,3
16821,3
1179,3
9641,3
9439,3
6949,3
828,3
17069,3
15478,3
8620,3
9083,3
15272,3
17062,3
8303,3
11497,3
16883,3
9206,3
3398,3
6216,3
11770,3
8886,3
9456,3
8319,3
9407,3
16606,3
14871,3
8929,3
15434,3
8364,3
21834,3
15293,3
6410,3
7083,3
15290,3
3775,3
15289,3
21820,3
15285,3
14652,3
14651,3
15284,3
17075,3
496,3
15264,3
14709,3
909,3
9501,3
11421,3
903,3
17271,3
14556,3
9513,3
11416,3
11414,3
6481,3
11413,3
11412,3
9521,3
8953,3
16620,3
16621,3
17024,3
3322,3
6479,3
8551,3
16612,3
9058,3
18480,3
6927,3
9468,3
17047,3
3365,3
16611,3
15512,3
15524,3
14590,3
8943,3
8654,3
11446,3
16689,3
3336,3
14572,3
11719,3
11534,3
8234,3
15322,3
21919,3
15352,3
15353,3
15355,3
21990,3
