location,n
4589,36
6630,36
3293,36
693,36
702,36
10718,36
5599,36
2364,36
8744,36
7614,36
4210,36
7218,36
5435,36
7249,36
1502,36
11135,36
11992,35
2317,35
4539,35
6918,35
2571,35
11032,35
1595,35
1498,35
699,35
8516,35
10290,35
9114,35
11073,35
8486,35
9354,35
9532,35
2284,35
7464,35
3559,35
11498,35
4005,35
2397,35
10818,35
5245,35
7113,35
7456,35
6906,34
7915,34
4925,34
6725,34
2206,34
12186,34
11918,34
4350,34
2783,34
336,34
5907,34
5482,34
1648,34
5232,34
6052,34
10410,34
1559,34
5305,34
3584,33
6304,33
4114,33
6440,33
9154,33
4445,33
5192,33
4315,33
11393,33
10491,33
11714,33
2959,33
1926,33
12068,33
518,33
5434,33
8815,33
5112,33
1426,33
4453,33
8048,33
8642,33
5521,33
298,33
406,33
11772,33
8052,32
6694,32
9021,32
3901,32
3019,32
2722,32
3758,32
3705,32
1425,32
3913,32
9980,32
9752,32
3094,32
6683,32
545,32
4254,32
1280,32
3111,32
1195,32
11709,32
8701,32
9272,32
535,32
4332,32
4277,32
6665,32
5502,32
9478,32
11670,32
824,32
6025,32
6031,32
4500,32
8810,32
8551,31
10590,31
212,31
5860,31
3833,31
11545,31
11478,31
4935,31
10969,31
11932,31
1606,31
902,31
8064,31
5321,31
6251,31
4039,31
3277,31
7857,31
10787,31
5579,31
1175,31
11653,31
10642,31
8067,31
6170,31
2273,31
10775,31
3600,31
8956,31
3709,31
5808,31
944,31
5836,31
5343,31
5018,31
11095,31
582,30
4505,30
3783,30
5165,30
1433,30
8004,30
695,30
3743,30
5303,30
8009,30
1413,30
9525,30
5308,30
4240,30
7742,30
7938,30
5476,30
4938,30
9234,30
1015,30
10857,30
10636,30
3720,30
11975,30
6992,30
8537,30
8969,30
6740,30
3307,30
2542,30
1166,30
2920,30
11886,30
10614,30
5377,30
8188,30
8688,30
3738,29
5973,29
12113,29
10085,29
12035,29
8388,29
6159,29
3926,29
1849,29
8403,29
8078,29
4545,29
4907,29
11233,29
2213,29
8499,29
5577,29
9080,29
3648,29
5568,29
10560,29
10702,29
10558,29
1386,29
6709,29
6659,29
10032,29
4176,29
8297,29
6180,29
3590,29
6329,29
10132,29
3934,29
6203,28
11991,28
7254,28
4239,28
11579,28
6446,28
1930,28
5126,28
10221,28
11064,28
10800,28
4320,28
11094,28
1996,28
1787,28
10571,28
101,28
10830,28
11469,28
12001,28
4978,28
8395,28
60,28
7811,28
1393,28
4434,28
1387,28
7367,28
2490,28
3567,28
9514,28
3677,28
3882,28
5643,28
2019,28
11954,28
1006,28
3987,28
11529,28
9241,28
2712,28
952,28
4547,28
6662,28
9462,27
6585,27
4674,27
11017,27
11265,27
10384,27
3683,27
11704,27
5693,27
8474,27
4455,27
221,27
8042,27
8693,27
