,mode,N,sig2e,sig2b0_spatial,sig2b1_spatial,q_spatial,experiment,exp_type,mse,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
61,spatial,100000,1,1,1,1000,0,ohe,1.349701731,,,,50,20.23482752
62,spatial,100000,1,1,1,1000,0,ignore,1.761815184,,,,50,9.218434572
63,spatial,100000,1,1,1,1000,0,embed,1.273654515,,,,50,11.99723744
64,spatial,100000,1,1,1,1000,0,lmm,1.172738177,1.169784427,0.799682379,0.939838052,50,122.7439194
65,spatial,100000,1,1,1,1000,0,svdkl,4.256768351,0.693247199,0.458455086,1.346881747,50,126.8052299
66,spatial,100000,1,1,1,1000,0,cnn,4.285809437,,,,50,721.9355643
67,spatial,100000,1,1,1,1000,1,ohe,1.450299194,,,,50,20.80474973
68,spatial,100000,1,1,1,1000,1,ignore,1.853859299,,,,50,9.279005527
69,spatial,100000,1,1,1,1000,1,embed,1.325067383,,,,50,11.94731069
70,spatial,100000,1,1,1,1000,1,lmm,1.153438033,1.150292754,1.109948277,0.857183456,50,122.6328993
71,spatial,100000,1,1,1,1000,1,svdkl,4.665836723,0.693247199,0.459804237,1.351412058,50,126.6882193
72,spatial,100000,1,1,1,1000,1,cnn,4.652756664,,,,50,722.5783889
73,spatial,100000,1,1,1,1000,2,ohe,1.415672454,,,,50,20.43639159
74,spatial,100000,1,1,1,1000,2,ignore,1.591971702,,,,50,9.398463011
75,spatial,100000,1,1,1,1000,2,embed,1.28234762,,,,50,12.08641648
76,spatial,100000,1,1,1,1000,2,lmm,1.149649844,1.158933282,1.033239722,1.22518158,50,122.2319975
77,spatial,100000,1,1,1,1000,2,svdkl,4.50437633,0.693247199,0.461047947,1.335515141,50,126.5831754
78,spatial,100000,1,1,1,1000,2,cnn,4.507178771,,,,50,722.3141477
79,spatial,100000,1,1,1,1000,3,ohe,1.342234871,,,,50,21.01818442
80,spatial,100000,1,1,1,1000,3,ignore,1.808450284,,,,50,9.811109543
81,spatial,100000,1,1,1,1000,3,embed,1.269205422,,,,50,12.20385027
82,spatial,100000,1,1,1,1000,3,lmm,1.141188937,1.173643112,0.999339461,1.083600283,50,123.4803543
83,spatial,100000,1,1,1,1000,3,svdkl,4.433982068,0.693247199,0.461645424,1.347958922,50,127.4326749
84,spatial,100000,1,1,1,1000,3,cnn,4.437756412,,,,50,722.7001634
85,spatial,100000,1,1,1,1000,4,ohe,1.348435379,,,,50,20.34917879
86,spatial,100000,1,1,1,1000,4,ignore,1.729845081,,,,50,9.201965094
87,spatial,100000,1,1,1,1000,4,embed,1.309988409,,,,50,11.93029165
88,spatial,100000,1,1,1,1000,4,lmm,1.099547332,1.160081983,1.083459139,0.956190765,50,122.5106974
89,spatial,100000,1,1,1,1000,4,svdkl,4.544410458,0.693247199,0.456070423,1.372088671,50,126.5658817
90,spatial,100000,1,1,1,1000,4,cnn,4.533398324,,,,50,720.1726651
91,spatial,100000,1,1,1,5000,0,ohe,1.65255425,,,,50,85.84521055
92,spatial,100000,1,1,1,5000,0,ignore,1.856814699,,,,50,9.274259567
93,spatial,100000,1,1,1,5000,0,embed,1.593206618,,,,50,11.88445377
94,spatial,100000,1,1,1,5000,0,lmm,1.143108723,1.207852483,1.020845532,0.974922657,50,131.2487369
95,spatial,100000,1,1,1,5000,0,svdkl,4.49316767,0.693247199,0.46079722,1.345107079,50,126.2462859
96,spatial,100000,1,1,1,5000,0,cnn,4.534392741,,,,50,724.0269248
97,spatial,100000,1,1,1,5000,1,ohe,1.687166137,,,,50,85.72682381
98,spatial,100000,1,1,1,5000,1,ignore,1.80147657,,,,50,9.503527403
99,spatial,100000,1,1,1,5000,1,embed,1.578017229,,,,50,12.90945029
100,spatial,100000,1,1,1,5000,1,lmm,1.147048578,1.1605407,1.091580272,1.173822165,50,132.2383959
101,spatial,100000,1,1,1,5000,1,svdkl,4.6735796,0.693247199,0.459745169,1.321740866,50,132.0084083
